"Match.ID","Team.ID","Team.Name","Player.From.ID","Player.From.Name","Event.ID","Event.Description","Period.ID","Period.Description","Start.Minute","Start.Second","End.Minute","End.Second","Start.X","Start.Y","End.X","End.Y","Shot.On.Target","opponent.team.name","opponent.team.id","On Target","Blocked","Left","From outside the Penalty Area","GK Save","Right","Off Target","Goal","Promising Action","From inside the Penalty Area","Deflected","Big Chance","Direct Free Kick","Headed Shot","Corner","Penalty","Post","Other"
131343,427,"Portugal",6345,"Bruno Miguel Borges Fernandes",5,"Shot",2,"2t",35,2,35,14,94.66,12.81,98.84,23.2,"True","Czech Republic",263,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
131343,427,"Portugal",7413,"Bernardo Mota Veiga De Carvalho E Silva",5,"Shot",2,"2t",6,18,6,30,88.71,47.32,105,24.41,"False","Czech Republic",263,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
131343,427,"Portugal",7413,"Bernardo Mota Veiga De Carvalho E Silva",5,"Shot",2,"2t",26,50,27,2,95.3,19.95,102.42,31.47,"True","Czech Republic",263,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
131343,427,"Portugal",7490,"Cristiano Ronaldo Dos Santos Aveiro",5,"Shot",1,"1t",7,27,7,39,95.39,33.68,105,27.57,"False","Czech Republic",263,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0
131343,427,"Portugal",7490,"Cristiano Ronaldo Dos Santos Aveiro",5,"Shot",1,"1t",31,11,31,23,95.85,30.75,98.57,32.62,"True","Czech Republic",263,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
131343,427,"Portugal",7490,"Cristiano Ronaldo Dos Santos Aveiro",5,"Shot",1,"1t",44,59,45,11,94.2,46.49,102.15,35.44,"True","Czech Republic",263,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
131343,427,"Portugal",7490,"Cristiano Ronaldo Dos Santos Aveiro",5,"Shot",2,"2t",9,20,9,32,96.76,34.69,98.18,34,"False","Czech Republic",263,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0
131343,427,"Portugal",7490,"Cristiano Ronaldo Dos Santos Aveiro",5,"Shot",2,"2t",12,39,12,51,79.92,33.04,102.81,33.08,"True","Czech Republic",263,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
131343,427,"Portugal",9759,"Joao Pedro Cavaco Cancelo",5,"Shot",1,"1t",22,52,23,4,91.18,21.14,93.08,21.88,"True","Czech Republic",263,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
131343,427,"Portugal",16209,"Jose' Diogo Dalot Teixeira",5,"Shot",2,"2t",0,55,1,7,87.61,46.49,105,32.9,"False","Czech Republic",263,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
131343,427,"Portugal",16957,"Ruben Dos Santos Gato Alves Dias",5,"Shot",1,"1t",21,15,21,27,86.6,47.32,90.16,45.08,"False","Czech Republic",263,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
131343,427,"Portugal",20900,"Rafael Leao",5,"Shot",2,"2t",14,6,14,18,94.75,17.66,97.12,19.7,"True","Czech Republic",263,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
131343,427,"Portugal",25136,"Vitor Machado Ferreira",5,"Shot",1,"1t",31,14,31,26,83.58,26.27,102.55,35.67,"True","Czech Republic",263,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
131343,427,"Portugal",25136,"Vitor Machado Ferreira",5,"Shot",1,"1t",32,33,32,45,92.28,29.56,93.87,29.64,"False","Czech Republic",263,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0
131343,427,"Portugal",25136,"Vitor Machado Ferreira",5,"Shot",2,"2t",32,30,32,42,78.45,27.64,102.55,32.39,"True","Czech Republic",263,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
131343,427,"Portugal",25459,"Francisco Fernandes Da Conceicao",5,"Shot",2,"2t",46,8,46,20,101.43,31.12,105,32.11,"True","Czech Republic",263,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
131343,427,"Portugal",25752,"Nuno Alexandre Tavares Mendes",5,"Shot",1,"1t",16,6,16,18,78.27,21.69,105,40.54,"False","Czech Republic",263,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
131343,427,"Portugal",25752,"Nuno Alexandre Tavares Mendes",5,"Shot",2,"2t",23,47,23,59,99.97,26.27,102.55,31.93,"True","Czech Republic",263,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
