Match ID,Team ID,Team Name,Player From ID,Player From Name,Event ID,Event Description,Period ID,Period Description,Start Minute,Start Second,End Minute,End Second,Start X,Start Y,End X,End Y,Shot On Target,opponent team name,opponent team id,On Target,Blocked,GK Save,Off Target,Goal,Promising Action,From inside the Penalty Area,Deflected,Big Chance,Direct Free Kick,Corner,Penalty,Post,Other,shot_distance,goal_visibility,deviation_from_center,xG
131342,577,Ukraine,28011,Mykhaylo Mudryk,5,Shot,2,2t,38,23,38,35,96.06,23.61,105.0,30.02,False,Romania,486,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0.17554729557642132,0.1973754085758306,0.30558823529411766,0.07
131342,577,Ukraine,28011,Mykhaylo Mudryk,5,Shot,2,2t,48,19,48,31,75.35,24.48,100.83,35.9,True,Romania,486,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.45895973540695784,0.12224323950860473,0.27999999999999997,0.03
131343,263,Czech Republic,13147,Petr Sevcik,5,Shot,2,2t,35,53,36,5,91.63,36.43,94.93,36.12,True,Portugal,427,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0.17363323236518532,0.286169082817774,0.0714705882352941,0.1
131343,263,Czech Republic,13592,Tomas Soucek,5,Shot,2,2t,35,55,36,7,87.24,37.62,105.0,39.34,False,Portugal,427,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.24737383091986154,0.21534546369480181,0.10647058823529404,0.06
131343,263,Czech Republic,21422,Lukas Provod,5,Shot,2,2t,16,28,16,40,84.13,41.28,105.0,30.59,True,Portugal,427,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.31204292738891787,0.17092893461846967,0.21411764705882355,0.05
131343,263,Czech Republic,25068,Pavel Sulc,5,Shot,1,1t,3,36,3,48,90.46,28.62,91.88,30.09,True,Portugal,427,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.20475394443600325,0.2415006956911079,0.15823529411764703,0.09
131343,427,Portugal,6345,Bruno Miguel Borges Fernandes,5,Shot,1,1t,23,13,23,25,80.37,16.11,82.81,18.09,False,Czech Republic,263,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.44759193449290735,0.10659221235859927,0.5261764705882354,0.03
131343,427,Portugal,6345,Bruno Miguel Borges Fernandes,5,Shot,2,2t,35,2,35,14,94.66,12.81,98.84,23.2,True,Czech Republic,263,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.3360195166587607,0.07541913869659848,0.623235294117647,0.03
131343,427,Portugal,7413,Bernardo Mota Veiga De Carvalho E Silva,5,Shot,2,2t,6,18,6,30,88.71,47.32,105.0,24.41,False,Czech Republic,263,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.29479840879504937,0.1486682241058287,0.39176470588235296,0.06
131343,427,Portugal,7413,Bernardo Mota Veiga De Carvalho E Silva,5,Shot,2,2t,26,50,27,2,95.3,19.95,102.42,31.47,True,Czech Republic,263,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0.23027187848113034,0.1370955076234117,0.4132352941176471,0.06
131343,427,Portugal,7490,Cristiano Ronaldo Dos Santos Aveiro,5,Shot,1,1t,7,27,7,39,95.39,33.68,105.0,27.57,False,Czech Republic,263,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0.10903574768176652,0.4013555122645158,0.00941176470588236,0.13
131343,427,Portugal,7490,Cristiano Ronaldo Dos Santos Aveiro,5,Shot,1,1t,31,11,31,23,95.85,30.75,98.57,32.62,True,Czech Republic,263,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0.1105755385076913,0.38166890455327657,0.09558823529411764,0.29
131343,427,Portugal,7490,Cristiano Ronaldo Dos Santos Aveiro,5,Shot,1,1t,44,59,45,11,94.2,46.49,102.15,35.44,True,Czech Republic,263,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.2211466956791474,0.1625762601301338,0.36735294117647066,0.06
131343,427,Portugal,7490,Cristiano Ronaldo Dos Santos Aveiro,5,Shot,2,2t,9,20,9,32,96.76,34.69,98.18,34.0,False,Czech Republic,263,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0.08714694004387524,0.459245360394775,0.020294117647058758,0.15
131343,427,Portugal,7490,Cristiano Ronaldo Dos Santos Aveiro,5,Shot,2,2t,12,39,12,51,79.92,33.04,102.81,33.08,True,Czech Republic,263,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.36073163099226807,0.15893273116169485,0.028235294117647084,0.03
131343,427,Portugal,9759,Joao Pedro Cavaco Cancelo,5,Shot,1,1t,22,52,23,4,91.18,21.14,93.08,21.88,True,Czech Republic,263,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.2596089503073248,0.1574986877766006,0.37823529411764706,0.06
131343,427,Portugal,16209,Jose' Diogo Dalot Teixeira,5,Shot,2,2t,0,55,1,7,87.61,46.49,105.0,32.9,False,Czech Republic,263,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.30078184134778324,0.1529485432475392,0.36735294117647066,0.04
131343,427,Portugal,16957,Ruben Dos Santos Gato Alves Dias,5,Shot,1,1t,21,15,21,27,86.6,47.32,90.16,45.08,False,Czech Republic,263,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.3219910727831216,0.14366189662703452,0.39176470588235296,0.04
131343,427,Portugal,20900,Rafael Leao,5,Shot,2,2t,14,6,14,18,94.75,17.66,97.12,19.7,True,Czech Republic,263,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.2662900982681897,0.11286020794394144,0.48058823529411765,0.05
131343,427,Portugal,25136,Vitor Machado Ferreira,5,Shot,1,1t,31,14,31,26,83.58,26.27,102.55,35.67,True,Czech Republic,263,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.3229155766985459,0.16532322309593042,0.2273529411764706,0.05
131343,427,Portugal,25136,Vitor Machado Ferreira,5,Shot,1,1t,32,33,32,45,92.28,29.56,93.87,29.64,False,Czech Republic,263,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0.17174111428333294,0.2787675260744472,0.13058823529411767,0.1
131343,427,Portugal,25136,Vitor Machado Ferreira,5,Shot,2,2t,32,30,32,42,78.45,27.64,102.55,32.39,True,Czech Republic,263,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.39654038371089817,0.1423828998685832,0.18705882352941175,0.04
131343,427,Portugal,25459,Francisco Fernandes Da Conceicao,5,Shot,2,2t,46,8,46,20,101.43,31.12,105.0,32.11,True,Czech Republic,263,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0.027291863152565647,0.7109917434024263,0.08470588235294114,0.44
131343,427,Portugal,25752,Nuno Alexandre Tavares Mendes,5,Shot,1,1t,16,6,16,18,78.27,21.69,105.0,40.54,False,Czech Republic,263,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.4311211808304481,0.12357984358819038,0.3620588235294117,0.03
131343,427,Portugal,25752,Nuno Alexandre Tavares Mendes,5,Shot,2,2t,23,47,23,59,99.97,26.27,102.55,31.93,True,Czech Republic,263,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0.10264924989557589,0.2615183804349842,0.2273529411764706,0.09
131344,427,Portugal,6345,Bruno Miguel Borges Fernandes,5,Shot,1,1t,3,28,3,40,79.68,39.05,86.32,35.55,True,Turkiye,579,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.37244142295882166,0.1517684172025887,0.1485294117647058,0.05
131344,427,Portugal,6345,Bruno Miguel Borges Fernandes,5,Shot,1,1t,23,41,23,53,90.52,25.54,105.0,41.74,False,Turkiye,579,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0.22534818914752602,0.2073392133756412,0.24882352941176472,0.07
131344,427,Portugal,6345,Bruno Miguel Borges Fernandes,5,Shot,1,1t,34,40,34,52,93.34,47.88,105.0,40.37,False,Turkiye,579,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0.247413291297655,0.14509856510738198,0.40823529411764714,0.06
131344,427,Portugal,6345,Bruno Miguel Borges Fernandes,5,Shot,2,2t,10,7,10,19,97.28,32.52,105.0,34.12,True,Turkiye,579,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0.08051027057409665,0.47638720456942196,0.04352941176470579,0.34
131344,427,Portugal,7413,Bernardo Mota Veiga De Carvalho E Silva,5,Shot,1,1t,20,55,21,7,95.5,36.3,105.0,37.57,True,Turkiye,579,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0.11162260501594948,0.3877046213106928,0.06764705882352932,0.13
131344,427,Portugal,7413,Bernardo Mota Veiga De Carvalho E Silva,5,Shot,2,2t,44,32,44,44,93.71,30.36,96.06,31.36,True,Turkiye,579,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0.14556275582217815,0.31751005838383095,0.10705882352941178,0.11
