Match ID,Team ID,Team Name,Player From ID,Player From Name,Player To ID,Player To Name,Event ID,Event Description,Tags,Period ID,Period Description,Start Minute,Start Second,End Minute,End Second,Intersection Point,Intersection Point Norm,Start X,Start Y,End X,End Y,Next Event Description
131375,423,FRANCIA,,,,,4,Set Pieces Against,Kick Off,1,1t,0,0,0,4,,,52.79,34.43,64.62,32.99,
131375,510,AUSTRIA,20289.0,CHRISTOPH BAUMGARTNER,27994.0,NICOLAS SEIWALD,34,Pass,Accurate,1,1t,0,0,0,5,,,52.21,33.57,40.38,35.01,Set Pieces Against
131375,510,AUSTRIA,27994.0,NICOLAS SEIWALD,20289.0,CHRISTOPH BAUMGARTNER,34,Pass,Accurate,1,1t,0,0,0,6,,,40.38,35.01,54.09,34.86,Pass
131375,510,AUSTRIA,20289.0,CHRISTOPH BAUMGARTNER,17396.0,FLORIAN GRILLITSCH,34,Pass,Accurate,1,1t,0,0,0,7,,,54.09,34.86,48.03,31.84,Pass
131375,510,AUSTRIA,20289.0,CHRISTOPH BAUMGARTNER,,,3,Set Pieces,Kick Off,1,1t,0,0,0,4,,,52.21,33.57,40.38,35.01,Pass
131375,510,AUSTRIA,,,,,927,Possession Phase,,1,1t,0,0,0,9,,,,,,,Set Pieces
131375,510,AUSTRIA,17396.0,FLORIAN GRILLITSCH,,,34,Pass,Inaccurate,1,1t,0,2,0,10,,,48.75,30.54,85.96,63.10,Possession Phase
131375,423,FRANCIA,15562.0,THEO BERNARD FRANCOIS HERNANDEZ,,,738,Ball Line Out,,1,1t,0,6,0,12,,,29.86,0.00,,,Pass
131375,510,AUSTRIA,17397.0,STEFAN POSCH,27994.0,NICOLAS SEIWALD,34,Pass,Accurate,1,1t,0,14,0,22,,,77.31,68.00,66.78,64.69,Ball Line Out
131375,423,FRANCIA,21438.0,MIKE MAIGNAN,,,2,"Defensive
Action",,1,1t,0,15,1,1,,,27.69,0.00,,,Pass
131375,423,FRANCIA,14949.0,DAYOT UPAMECANO,,,2,"Defensive
Action",,1,1t,0,15,1,1,,,27.69,0.00,,,"Defensive
Action"
131375,510,AUSTRIA,17397.0,STEFAN POSCH,,,1,"Offensive
Action",,1,1t,0,15,1,1,,,77.31,68.00,,,"Defensive
Action"
131375,510,AUSTRIA,27994.0,NICOLAS SEIWALD,,,1,"Offensive
Action",,1,1t,0,15,1,1,,,77.31,68.00,,,"Offensive
Action"
131375,510,AUSTRIA,13829.0,MAXIMILIAN WOBER,,,1,"Offensive
Action",,1,1t,0,15,1,1,,,77.31,68.00,,,"Offensive
Action"
131375,510,AUSTRIA,19406.0,KEVIN DANSO,,,1,"Offensive
Action",,1,1t,0,15,1,1,,,77.31,68.00,,,"Offensive
Action"
131375,510,AUSTRIA,16840.0,PHILLIPP MWENE,,,1,"Offensive
Action",,1,1t,0,15,1,1,,,77.31,68.00,,,"Offensive
Action"
131375,423,FRANCIA,,,,,4,Set Pieces Against,Throw-in,1,1t,0,17,0,23,,,27.69,0.00,38.22,3.31,"Offensive
Action"
131375,510,AUSTRIA,17397.0,STEFAN POSCH,,,3,Set Pieces,Throw-in,1,1t,0,17,0,23,,,77.31,68.00,66.78,64.69,Set Pieces Against
131375,510,AUSTRIA,,,,,927,Possession Phase,,1,1t,0,18,0,58,,,,,,,Set Pieces
131375,510,AUSTRIA,27994.0,NICOLAS SEIWALD,13829.0,MAXIMILIAN WOBER,34,Pass,Accurate,1,1t,0,19,0,27,,,65.05,61.52,40.82,34.43,Possession Phase
131375,510,AUSTRIA,13829.0,MAXIMILIAN WOBER,19406.0,KEVIN DANSO,34,Pass,Accurate,1,1t,0,24,0,32,,,46.73,28.96,41.25,48.84,Pass
131375,510,AUSTRIA,19406.0,KEVIN DANSO,27994.0,NICOLAS SEIWALD,34,Pass,Accurate,1,1t,0,27,0,35,,,41.83,56.33,46.73,65.26,Pass
131375,510,AUSTRIA,27994.0,NICOLAS SEIWALD,19406.0,KEVIN DANSO,34,Pass,Accurate,1,1t,0,29,0,37,,,46.73,65.26,35.34,59.21,Pass
131375,510,AUSTRIA,19406.0,KEVIN DANSO,13829.0,MAXIMILIAN WOBER,34,Pass,Accurate,1,1t,0,32,0,40,,,35.34,59.21,30.43,26.36,Pass
131375,423,FRANCIA,,,,,101,Side Balls Against,"Cross behind the line, Without Goal",1,1t,0,40,0,52,,,30.72,64.54,6.63,33.14,Pass
131375,510,AUSTRIA,13829.0,MAXIMILIAN WOBER,16840.0,PHILLIPP MWENE,34,Pass,Accurate,1,1t,0,40,0,48,,,56.83,18.01,74.28,3.46,Side Balls Against
131375,510,AUSTRIA,16840.0,PHILLIPP MWENE,,,10,"Possession 
Lost",,1,1t,0,40,0,52,,,98.37,34.86,,,Pass
131375,510,AUSTRIA,16840.0,PHILLIPP MWENE,,,100,Side Balls,"Cross behind the line, Without Goal",1,1t,0,40,0,52,,,74.28,3.46,98.37,34.86,"Possession 
Lost"
131375,423,FRANCIA,21438.0,MIKE MAIGNAN,,,11,Ball Recovery,,1,1t,0,41,0,53,,,6.63,33.14,,,Side Balls
131375,510,AUSTRIA,16840.0,PHILLIPP MWENE,,,34,Pass,"Inaccurate, To Penalty Area",1,1t,0,42,0,50,,,74.28,3.46,98.37,34.86,Ball Recovery
131375,423,FRANCIA,21438.0,MIKE MAIGNAN,,,1,"Offensive
Action",Pressing Suffered,1,1t,0,55,1,19,,,10.67,35.58,,,Pass
131375,423,FRANCIA,14949.0,DAYOT UPAMECANO,,,1,"Offensive
Action",Pressing Suffered,1,1t,0,55,1,19,,,10.67,35.58,,,"Offensive
Action"
131375,423,FRANCIA,11041.0,N'GOLO KANTE',,,1,"Offensive
Action",Pressing Suffered,1,1t,0,55,1,19,,,10.67,35.58,,,"Offensive
Action"
131375,423,FRANCIA,17928.0,JULES KOUNDE',,,1,"Offensive
Action",Pressing Suffered,1,1t,0,55,1,19,,,10.67,35.58,,,"Offensive
Action"
131375,423,FRANCIA,11048.0,OUSMANE DEMBELE',,,1,"Offensive
Action",Pressing Suffered,1,1t,0,55,1,19,,,10.67,35.58,,,"Offensive
Action"
131375,423,FRANCIA,7617.0,ANTOINE GRIEZMANN,,,1,"Offensive
Action",Pressing Suffered,1,1t,0,55,1,19,,,10.67,35.58,,,"Offensive
Action"
131375,423,FRANCIA,21438.0,MIKE MAIGNAN,14949.0,DAYOT UPAMECANO,34,Pass,Accurate,1,1t,0,55,1,3,,,10.67,35.58,13.99,51.43,"Offensive
Action"
131375,510,AUSTRIA,13829.0,MAXIMILIAN WOBER,,,2,"Defensive
Action",Pressing,1,1t,0,55,1,19,,,94.33,32.42,,,Pass
131375,510,AUSTRIA,27994.0,NICOLAS SEIWALD,,,2,"Defensive
Action",Pressing,1,1t,0,55,1,19,,,94.33,32.42,,,"Defensive
Action"
131375,510,AUSTRIA,16840.0,PHILLIPP MWENE,,,2,"Defensive
Action",Pressing,1,1t,0,55,1,19,,,94.33,32.42,,,"Defensive
Action"
131375,423,FRANCIA,21438.0,MIKE MAIGNAN,14949.0,DAYOT UPAMECANO,14,GK Play,Thrown by hand,1,1t,0,56,1,2,,,10.67,35.58,13.99,51.43,"Defensive
Action"
131375,423,FRANCIA,14949.0,DAYOT UPAMECANO,11041.0,N'GOLO KANTE',34,Pass,Accurate,1,1t,0,57,1,5,,,13.99,51.43,23.08,48.12,GK Play
131375,423,FRANCIA,,,,,927,Possession Phase,,1,1t,0,58,1,16,,,,,,,Pass
131375,423,FRANCIA,11041.0,N'GOLO KANTE',17928.0,JULES KOUNDE',34,Pass,Accurate,1,1t,0,59,1,7,,,21.78,52.15,20.77,65.84,Possession Phase
131375,423,FRANCIA,17928.0,JULES KOUNDE',11048.0,OUSMANE DEMBELE',34,Pass,Accurate,1,1t,1,2,1,10,,,20.77,65.84,82.93,63.39,Pass
131375,423,FRANCIA,11048.0,OUSMANE DEMBELE',,,23,"Duel 
Lost","Dribbling, Offensive",1,1t,1,7,1,19,,,92.31,60.80,,,Pass
131375,423,FRANCIA,11048.0,OUSMANE DEMBELE',,,8,Dribbling,,1,1t,1,7,1,19,,,92.31,60.80,,,"Duel 
Lost"
131375,510,AUSTRIA,13829.0,MAXIMILIAN WOBER,,,9,"Duel 
Won","Dribbling, Defensive",1,1t,1,7,1,19,,,12.69,7.20,,,Dribbling
131375,510,AUSTRIA,13829.0,MAXIMILIAN WOBER,,,22,"Dribbling
 Suffered",,1,1t,1,7,1,19,,,12.69,7.20,,,"Duel 
Won"
131375,423,FRANCIA,11048.0,OUSMANE DEMBELE',7617.0,ANTOINE GRIEZMANN,34,Pass,Accurate,1,1t,1,8,1,16,,,90.14,61.95,79.18,54.89,"Dribbling
 Suffered"
131375,423,FRANCIA,7617.0,ANTOINE GRIEZMANN,,,10,"Possession 
Lost",,1,1t,1,9,1,21,,,90.29,54.89,,,Pass
131375,423,FRANCIA,7617.0,ANTOINE GRIEZMANN,,,34,Pass,Inaccurate,1,1t,1,10,1,18,,,84.81,55.61,88.13,51.86,"Possession 
Lost"
131375,510,AUSTRIA,16840.0,PHILLIPP MWENE,,,11,Ball Recovery,,1,1t,1,10,1,22,,,14.71,13.11,,,Pass
131375,510,AUSTRIA,27994.0,NICOLAS SEIWALD,,,704,Intercept,,1,1t,1,11,1,19,,,16.87,16.14,,,Ball Recovery
131375,423,FRANCIA,7617.0,ANTOINE GRIEZMANN,,,737,Bad Ball Control,,1,1t,1,12,1,18,,,90.29,54.89,,,Intercept
131375,510,AUSTRIA,16840.0,PHILLIPP MWENE,10852.0,MARCEL SABITZER,34,Pass,Accurate,1,1t,1,12,1,20,,,14.42,11.81,24.09,14.12,Bad Ball Control
131375,510,AUSTRIA,10852.0,MARCEL SABITZER,,,10,"Possession 
Lost",,1,1t,1,12,1,24,,,26.54,10.66,,,Pass
131375,423,FRANCIA,17928.0,JULES KOUNDE',,,11,Ball Recovery,,1,1t,1,13,1,25,,,78.46,57.34,,,"Possession 
Lost"
131375,510,AUSTRIA,10852.0,MARCEL SABITZER,17396.0,FLORIAN GRILLITSCH,34,Pass,Accurate,1,1t,1,13,1,21,,,24.09,14.12,19.18,16.86,Ball Recovery
131375,510,AUSTRIA,17396.0,FLORIAN GRILLITSCH,10852.0,MARCEL SABITZER,34,Pass,Accurate,1,1t,1,14,1,22,,,19.18,16.86,26.54,10.66,Pass
131375,423,FRANCIA,17928.0,JULES KOUNDE',7437.0,ADRIEN RABIOT,34,Pass,Accurate,1,1t,1,15,1,23,,,72.26,58.78,76.30,51.29,Pass
131375,510,AUSTRIA,10852.0,MARCEL SABITZER,,,737,Bad Ball Control,,1,1t,1,15,1,21,,,26.54,10.66,,,Pass
131375,423,FRANCIA,17928.0,JULES KOUNDE',,,1,"Offensive
Action",,1,1t,1,16,1,43,,,72.26,58.78,,,Bad Ball Control
131375,423,FRANCIA,7437.0,ADRIEN RABIOT,,,1,"Offensive
Action",,1,1t,1,16,1,43,,,72.26,58.78,,,"Offensive
Action"
131375,423,FRANCIA,11041.0,N'GOLO KANTE',,,1,"Offensive
Action",,1,1t,1,16,1,43,,,72.26,58.78,,,"Offensive
Action"
131375,423,FRANCIA,15562.0,THEO BERNARD FRANCOIS HERNANDEZ,,,1,"Offensive
Action",,1,1t,1,16,1,43,,,72.26,58.78,,,"Offensive
Action"
131375,423,FRANCIA,11711.0,KYLIAN MBAPPE',,,1,"Offensive
Action",,1,1t,1,16,1,43,,,72.26,58.78,,,"Offensive
Action"
131375,423,FRANCIA,7437.0,ADRIEN RABIOT,11041.0,N'GOLO KANTE',34,Pass,Accurate,1,1t,1,16,1,24,,,76.30,51.29,72.55,48.26,"Offensive
Action"
131375,510,AUSTRIA,15798.0,KONRAD LAIMER,,,2,"Defensive
Action",,1,1t,1,16,1,43,,,32.74,9.22,,,Pass
131375,510,AUSTRIA,,,,,927,Possession Phase,,1,1t,1,16,1,19,,,,,,,"Defensive
Action"
131375,423,FRANCIA,,,,,927,Possession Phase,,1,1t,1,19,1,40,,,,,,,Possession Phase
131375,423,FRANCIA,11041.0,N'GOLO KANTE',15562.0,THEO BERNARD FRANCOIS HERNANDEZ,34,Pass,Accurate,1,1t,1,20,1,28,,,72.98,39.62,103.99,12.10,Possession Phase
131375,423,FRANCIA,15562.0,THEO BERNARD FRANCOIS HERNANDEZ,11711.0,KYLIAN MBAPPE',34,Pass,Accurate,1,1t,1,24,1,32,,,103.99,12.10,84.95,7.06,Pass
131375,423,FRANCIA,11711.0,KYLIAN MBAPPE',11041.0,N'GOLO KANTE',34,Pass,Accurate,1,1t,1,27,1,35,,,84.95,7.06,74.86,11.09,Pass
131375,423,FRANCIA,11041.0,N'GOLO KANTE',7437.0,ADRIEN RABIOT,12,Killer Pass,"Verticalization, Without Goal",1,1t,1,28,1,40,,,75.29,12.82,92.16,18.58,Pass
131375,510,AUSTRIA,,,,,13,"Killer Pass
 Against","Verticalization, Without Goal",1,1t,1,28,1,40,,,29.71,55.18,12.84,49.42,Killer Pass
131375,423,FRANCIA,11041.0,N'GOLO KANTE',7437.0,ADRIEN RABIOT,34,Pass,"Accurate, To Penalty Area",1,1t,1,30,1,38,,,75.29,12.82,92.16,18.58,"Killer Pass
 Against"
131375,423,FRANCIA,7437.0,ADRIEN RABIOT,11711.0,KYLIAN MBAPPE',34,Pass,Accurate,1,1t,1,32,1,40,,,95.05,15.56,90.14,6.63,Pass
131375,423,FRANCIA,11711.0,KYLIAN MBAPPE',,,9,"Duel 
Won",Without Goal Foul,1,1t,1,35,1,47,,,81.49,12.97,,,Pass
131375,510,AUSTRIA,15798.0,KONRAD LAIMER,,,23,"Duel 
Lost",Without Goal Foul,1,1t,1,35,1,47,,,23.51,55.03,,,"Duel 
Won"
131375,423,FRANCIA,11711.0,KYLIAN MBAPPE',,,24,Foul Suffered,Generic,1,1t,1,38,1,45,,,81.49,12.97,,,"Duel 
Lost"
131375,510,AUSTRIA,15798.0,KONRAD LAIMER,,,19,Foul,Generic,1,1t,1,38,1,45,,,23.51,55.03,,,Foul Suffered
131375,423,FRANCIA,7617.0,ANTOINE GRIEZMANN,,,34,Pass,"Inaccurate, To Penalty Area",1,1t,2,18,2,26,,,81.20,13.69,97.93,34.29,Foul
131375,423,FRANCIA,7617.0,ANTOINE GRIEZMANN,,,3,Set Pieces,Lateral Free Kick,1,1t,2,18,2,31,,,81.20,13.69,97.93,34.29,Pass
131375,510,AUSTRIA,,,,,4,Set Pieces Against,Lateral Free Kick,1,1t,2,18,2,31,,,23.80,54.31,7.07,33.71,Set Pieces
131375,510,AUSTRIA,19406.0,KEVIN DANSO,,,704,Intercept,,1,1t,2,19,2,27,,,7.07,33.71,,,Set Pieces Against
131375,423,FRANCIA,,,,,927,Possession Phase,,1,1t,2,21,2,28,,,,,,,Intercept
131375,510,AUSTRIA,19406.0,KEVIN DANSO,,,738,Ball Line Out,,1,1t,2,25,2,31,,,3.75,0.00,,,Possession Phase
131375,423,FRANCIA,17928.0,JULES KOUNDE',14949.0,DAYOT UPAMECANO,34,Pass,Accurate,1,1t,2,30,2,38,,,100.96,68.00,84.81,63.97,Ball Line Out
131375,423,FRANCIA,14949.0,DAYOT UPAMECANO,11041.0,N'GOLO KANTE',34,Pass,Accurate,1,1t,2,32,2,40,,,84.81,63.97,68.08,58.35,Pass
131375,423,FRANCIA,17928.0,JULES KOUNDE',,,3,Set Pieces,Throw-in,1,1t,2,32,2,38,,,100.96,68.00,84.81,63.97,Pass
131375,510,AUSTRIA,,,,,4,Set Pieces Against,Throw-in,1,1t,2,32,2,38,,,4.04,0.00,20.19,4.03,Set Pieces
131375,423,FRANCIA,,,,,927,Possession Phase,,1,1t,2,33,2,46,,,,,,,Set Pieces Against
