Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,tiri,tiriDaFuori,tiriDaFuori_PERC,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,giochiPortiereRicevuti,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,cross,palleLaterali,perdePalla,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,dribbling,dribblingSub,duelli,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,inFuorigioco,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,crossRiusciti,crossRiusciti_PERC,triangolazione,triFatta,triFatta_PERC,dribblingPositivo,dribblingPositivo_PERC,retiSub,passChiave,parate,uscite,interventoPositivo,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,duelliFalliDiGioco,duelliFalliDiGioco_PERC,falliSubiti,cutBack,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,tiriInPorta,tiriInPorta_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,ammonizioni,tiriDaArea,tiriDaArea_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,traversoni,assist,traversoniRiusciti,traversoniRiusciti_PERC,triChiusa,triChiusa_PERC,passChiaveInArea,passChiaveInArea_PERC,assistInArea,assistInArea_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,thirdPass,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolPiede,tiroGolPiede_PERC,golSviluppoCorner,golSviluppoCorner_PERC,tiriDiTesta,tiriDiTesta_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,assistVincenti,assistVincenti_PERC,assistVincentiInArea,assistVincentiInArea_PERC,cutBackRiusciti,cutBackRiusciti_PERC,cutBackVincenti,cutBackVincenti_PERC
24545,ENDRE,BOTKA,BOTKA E.,25-08-1994,131366,103,,,,46,2,4.35%,40,86.96%,2,100.00%,,,22,,,,,,,,1,7,,,,,22,13,59.09%,2,15.38%,2,15.38%,11,50.00%,6,54.55%,9,40.91%,7,77.78%,2,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,487,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,14.29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45952,KEVIN,CSOBOTH,CSOBOTH K.,20-06-2000,131366,16,2,,,6,1,16.67%,5,83.33%,,,2,40.00%,5,2,40.00%,,,,,,3,2,,,,1,6,2,33.33%,2,100.00%,2,100.00%,1,16.67%,1,100.00%,2,33.33%,,,1,,,,0.450,0.649,0.000,0.000,0.056,0.199,0.450,0.450,487,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,1,16.67%,1,,1,100.00%,,,1,50.00%,,,1,2,100.00%,1,100.00%,,,,,,,,,,,2,100.00%,1,1,50.00%,1,100.00%,1,100.00%,1,100.00%,,,,,,,,,,,,
31879,MARTON,DARDAI,DARDAI M.,12-02-2002,131366,75,1,,,37,2,5.41%,29,78.38%,1,50.00%,1,4.00%,25,1,4.00%,2,,,,,6,7,2,33.33%,,2,14,6,42.86%,,,2,33.33%,3,21.43%,2,66.67%,6,42.86%,3,50.00%,2,,,,0.046,0.000,0.376,0.000,0.206,-0.046,0.046,0.000,487,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7.14%,1,,2,100.00%,,,,,,,,1,100.00%,,,,,,,,,,,,,1,100.00%,,,,,,,,,,1,100.00%,,,,,,,,,,
11130,PETER,GULACSI,GULACSI P.,06-05-1990,131366,103,,,,26,,,24,92.31%,,,,,12,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,487,,,,,,,,,,1,2,,,,,9,4,7,77.78%,4,100.00%,13,5,38.46%,5,38.46%,1,100.00%,,3,23.08%,0.138,0.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31072,MILOS,KERKEZ,KERKEZ M.,07-11-2003,131366,87,,,,24,5,20.83%,14,58.33%,1,20.00%,,,18,,,,,,3,6,4,5,2,50.00%,,2,12,7,58.33%,,,,,2,16.67%,1,50.00%,4,33.33%,2,50.00%,1,,2,50.00%,0.000,0.000,0.663,0.000,0.553,0.000,0.000,0.000,487,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,25.00%,3,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11136,LASZLO,KLEINHEISLER,KLEINHEISLER L.,08-04-1994,131366,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11135,ADAM,NAGY,NAGY A.,17-06-1995,131366,41,1,1,100.00%,8,1,12.50%,5,62.50%,,,1,16.67%,6,,,,,,1,1,2,1,,,,,5,4,80.00%,,,1,25.00%,3,60.00%,3,100.00%,2,40.00%,1,50.00%,,,,,0.019,0.000,0.201,0.000,0.219,-0.019,0.019,0.000,487,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32902,ZSOLT,NAGY,NAGY Z.,25-05-1993,131366,16,,,,3,1,33.33%,,,,,,,1,,,,,,1,1,2,1,,,,,4,3,75.00%,,,,,2,50.00%,1,50.00%,1,25.00%,1,100.00%,,1,,,0.000,0.000,0.338,0.000,0.338,0.000,0.000,0.000,487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14950,WILLI,ORBAN,ORBAN W.,03-11-1992,131366,103,1,,,50,1,2.00%,41,82.00%,,,1,2.78%,36,3,8.33%,1,,,,,3,10,,,,1,15,6,40.00%,,,5,83.33%,7,46.67%,2,28.57%,4,26.67%,2,50.00%,2,,,,0.217,0.000,0.255,0.000,-0.248,-0.217,0.217,0.217,487,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,6.67%,1,,,,,,,,,,1,1,100.00%,,,,,,,,,,,,,1,100.00%,,,,,,,,,,1,100.00%,1,100.00%,,,,,,,,
11810,ROLAND,SALLAI,SALLAI R.,22-05-1997,131366,103,3,1,33.33%,22,3,13.64%,18,81.82%,2,66.67%,7,21.88%,32,1,3.13%,,,,1,2,5,2,2,40.00%,1,1,17,10,58.82%,5,50.00%,6,60.00%,2,11.76%,,,9,52.94%,5,55.56%,,1,2,40.00%,0.154,0.430,1.205,0.103,0.935,0.276,0.154,0.154,487,,,,,,1,100.00%,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,4,23.53%,4,1,1,100.00%,,,1,33.33%,,,,2,66.67%,1,100.00%,,2,,,,,2,100.00%,2,100.00%,1,14.29%,,,,,,,,,,,,,,1,50.00%,1,50.00%,1,100.00%,1,100.00%
20891,ANDRAS,SCHAFER,SCHAFER A.,13-04-1999,131366,103,2,1,50.00%,50,1,2.00%,40,80.00%,,,2,5.56%,36,,,,,,,,8,6,5,62.50%,1,2,19,11,57.89%,5,45.45%,1,9.09%,7,36.84%,5,71.43%,7,36.84%,4,57.14%,1,,2,25.00%,0.087,0.494,0.000,0.000,0.087,0.407,0.087,0.054,487,,,1,1,100.00%,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,16.67%,1,5.26%,1,,1,50.00%,,,1,50.00%,,,1,1,50.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32905,CALLUM,STYLES,STYLES C.,27-03-2000,131366,62,,,,27,1,3.70%,20,74.07%,,,,,21,,,,,,,,4,2,2,50.00%,,,8,3,37.50%,2,66.67%,2,66.67%,4,50.00%,1,25.00%,2,25.00%,1,50.00%,1,,,,0.000,0.000,0.000,0.095,0.000,0.000,0.000,0.000,487,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,1,12.50%,1,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15218,ATTILA ARPAD,SZALAI,SZALAI A.,20-01-1998,131366,28,,,,9,1,11.11%,6,66.67%,,,,,5,,,,,,,,1,1,,,,1,3,,,,,,,,,,,1,33.33%,,,1,,,,0.000,0.000,0.106,0.000,0.106,0.000,0.000,0.000,487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15226,DOMINIK,SZOBOSZLAI,SZOBOSZLAI D.,25-10-2000,131366,103,3,2,66.67%,58,14,24.14%,44,75.86%,6,42.86%,4,9.09%,44,4,9.09%,2,1,50.00%,3,3,8,4,2,25.00%,6,1,17,5,29.41%,3,60.00%,10,200.00%,5,29.41%,,,5,29.41%,2,40.00%,,,,,0.259,0.673,2.743,0.126,2.535,0.414,0.259,0.207,487,,,,,,2,33.33%,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,33.33%,,,,1,33.33%,1,100.00%,,4,,,,,2,40.00%,1,25.00%,2,50.00%,,,,,,,,,,,,,,,,,,,,,
46183,BARNABAS,VARGA,VARGA B.,25-10-1994,131366,75,,,,13,2,15.38%,10,76.92%,1,50.00%,2,8.70%,23,3,13.04%,4,4,100.00%,,,4,2,1,25.00%,,1,21,9,42.86%,7,77.78%,10,111.11%,12,57.14%,4,33.33%,7,33.33%,3,42.86%,,2,,,0.000,0.000,0.509,0.115,-0.098,0.000,0.000,0.000,487,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,1,4.76%,1,,,,1,50.00%,,,,,,,,,,,2,,,1,100.00%,1,50.00%,1,50.00%,1,50.00%,,,,,,,,,,,,,,,,,,,,,
