Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,pass,passRiusciti,passRiusciti_PERC,passRicevuti,giochiPortiereRicevuti,cross,palleLaterali,perdePalla,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,duelli,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,tiriDaFuori,tiriDaFuori_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevutiInArea,passRicevutiInArea_PERC,triangolazione,triFatta,triFatta_PERC,dribblingSub,duelliAerei,duelliAerei_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,passChiave,passChiaveInArea,passChiaveInArea_PERC,passInArea,passInArea_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,assist,assistInArea,assistInArea_PERC,crossRiusciti,crossRiusciti_PERC,triChiusa,triChiusa_PERC,dribbling,dribblingPositivo,dribblingPositivo_PERC,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliAereiVinti,duelliAereiVinti_PERC,falliSubiti,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolAreaPiccola,tiroGolAreaPiccola_PERC,tiroGolPiede,tiroGolPiede_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,golSviluppoCorner,golSviluppoCorner_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,assistVincenti,assistVincenti_PERC,assistVincentiInArea,assistVincentiInArea_PERC,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,thirdPass,traversoni,inFuorigioco,tiroGolFuoriArea,tiroGolFuoriArea_PERC,ammonizioni,parate,uscite,interventoPositivo,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,retiSub,retiSubGK
19590,ANDREI,RATIU,RATIU A.,20-06-1998,131342,96,35,28,80.00%,23,2,1,1,5,4,3,60.00%,2,50.00%,6,4,66.67%,1,25.00%,2,50.00%,2,33.33%,2,100.00%,,0.061,0.430,0.146,0.037,0.101,0.369,0.061,0.061,486,1,1,100.00%,1,100.00%,,,1,4.35%,1,100.00%,1,4.35%,1,,,1,2,33.33%,,,2,40.00%,2,,,1,2.86%,,,1,,,,,1,100.00%,1,,,,,1,50.00%,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19566,ADRIAN,RUS,RUS A.,18-03-1996,131342,19,3,2,66.67%,2,,,,,,,,,,2,1,50.00%,,,1,100.00%,1,50.00%,1,100.00%,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,486,,,,,,,,,,,,,,,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11106,NICOLAE,STANCIU,STANCIU N.,07-05-1993,131342,88,26,21,80.77%,23,,,,2,3,,,1,33.33%,7,4,57.14%,,,2,50.00%,2,28.57%,,,1,0.125,0.550,0.446,0.000,0.285,0.425,0.125,0.103,486,3,2,66.67%,,,3,100.00%,2,8.70%,,,,,,,,,,,2,100.00%,,,,,,2,7.69%,,,,,,,,,,1,1,100.00%,3,42.86%,,,3,,,1,33.33%,,,,,1,100.00%,,,,,1,33.33%,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
24246,ILLIA,BORYSOVYCH ZABARNYI,ZABARNYI I.,01-09-2002,131342,96,80,72,90.00%,64,6,,,3,5,2,66.67%,2,40.00%,4,3,75.00%,,,1,33.33%,1,25.00%,1,100.00%,,0.000,0.000,0.122,0.068,0.122,0.000,0.000,0.000,577,,,,,,,,,,,,,,,,,,3,75.00%,,,,,5,1,20.00%,3,3.75%,1,33.33%,1,1,100.00%,,,,,,,,,,2,66.67%,,,,,,,,,,,,,,,,2,40.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
38393,VOLODYMYR,BRAZHKO,BRAZHKO V.,23-01-2002,131342,32,20,18,90.00%,15,,,,,3,,,,,9,8,88.89%,2,25.00%,,,2,22.22%,2,100.00%,,0.000,0.000,0.255,0.019,0.153,0.000,0.000,0.000,577,,,,,,,,,,,,,,,,,,3,33.33%,,,,,1,,,1,5.00%,1,100.00%,1,,,,,,,1,1,100.00%,3,33.33%,2,66.67%,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26396,ARTEM,DOVBYK,DOVBYK A.,21-06-1997,131342,96,8,7,87.50%,13,,,,4,,,,,,4,1,25.00%,1,100.00%,3,300.00%,3,75.00%,,,,0.025,0.000,0.678,0.161,0.434,-0.025,0.025,0.000,577,1,,,,,1,100.00%,6,46.15%,,,2,15.38%,1,,,,,,,,,,3,1,33.33%,2,25.00%,1,50.00%,3,1,33.33%,,,1,100.00%,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
24739,YUKHYM,KONOPLYA,KONOPLYA Y.,26-08-1999,131342,73,41,31,75.61%,33,1,2,2,7,5,,,1,20.00%,7,3,42.86%,1,33.33%,2,66.67%,3,42.86%,2,66.67%,1,0.000,0.000,0.215,0.000,0.215,0.000,0.000,0.000,577,,,,,,,,2,6.06%,,,,,1,,,1,1,14.29%,,,,,,,,2,4.88%,,,,,,,,1,100.00%,1,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,
15780,ANDRIY,LUNIN,LUNIN A.,11-02-1999,131342,96,21,20,95.24%,14,,,,1,4,1,100.00%,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,577,,,,,,,,,,,,,,,,,,,,,,2,200.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,6,2,33.33%,,15,,,14,93.33%,6,3,50.00%,,,2,100.00%,3,50.00%,2.144,-0.856,3,3
14066,RUSLAN,MALINOVSKYI,MALINOVSKYI R.,04-05-1993,131342,12,18,16,88.89%,12,,,,,3,,,,,3,3,100.00%,1,33.33%,,,3,100.00%,3,100.00%,,0.000,0.000,0.264,0.000,0.264,0.000,0.000,0.000,577,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,5.56%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23819,MYKOLA,MATVIENKO,MATVIENKO M.,02-05-1996,131342,96,83,77,92.77%,74,3,1,1,4,5,,,,,10,7,70.00%,3,42.86%,1,14.29%,3,30.00%,3,100.00%,1,0.000,0.000,0.159,0.087,0.159,0.000,0.000,0.000,577,,,,,,,,,,,,,,,,,1,4,40.00%,,,,,6,,,2,2.41%,,,2,,,,,,,,,,1,10.00%,2,50.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
28011,MYKHAYLO,MUDRYK,MUDRYK M.,05-01-2001,131342,96,35,23,65.71%,33,,5,5,7,2,1,14.29%,,,10,5,50.00%,2,40.00%,5,100.00%,5,50.00%,2,40.00%,,0.160,0.341,2.492,0.072,2.410,0.180,0.160,0.114,577,3,2,66.67%,2,66.67%,1,33.33%,5,15.15%,1,20.00%,3,9.09%,,,,1,2,20.00%,1,50.00%,2,28.57%,2,,,12,34.29%,2,16.67%,2,,,1,20.00%,,,,,,2,20.00%,1,50.00%,2,,,,,,,,,,,1,50.00%,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
16244,MYKOLA,SHAPARENKO,SHAPARENKO M.,04-10-1998,131342,64,56,52,92.86%,48,,,,2,3,1,50.00%,1,33.33%,6,2,33.33%,1,50.00%,,,3,50.00%,1,33.33%,1,0.000,0.000,0.000,0.000,-0.121,0.000,0.000,0.000,577,,,,,,,,,,,,,,1,1,100.00%,1,,,,,2,100.00%,4,,,1,1.79%,,,,,,,,,,,,,1,16.67%,,,1,,,,,,,,,,,,,,,1,33.33%,,,,,,,1,100.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
7747,TARAS,STEPANENKO,STEPANENKO T.,08-08-1989,131342,64,57,49,85.96%,50,1,1,1,7,5,2,28.57%,3,60.00%,6,3,50.00%,,,3,100.00%,2,33.33%,1,50.00%,,0.000,0.000,0.340,0.000,-0.116,0.000,0.000,0.000,577,,,,,,,,1,2.00%,,,1,2.00%,,,,1,2,33.33%,,,2,28.57%,,,,1,1.75%,,,,,,,,,,1,,,,,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
24582,GEORGIY,SUDAKOV,SUDAKOV G.,01-09-2002,131342,84,50,42,84.00%,51,,1,1,8,4,1,12.50%,,,13,4,30.77%,2,50.00%,8,200.00%,7,53.85%,1,14.29%,3,0.137,0.042,0.879,0.032,0.764,-0.094,0.137,0.058,577,4,1,25.00%,,,4,100.00%,12,23.53%,,,,,1,1,100.00%,,,,1,100.00%,,,3,,,7,14.00%,3,42.86%,1,,,,,,,1,1,100.00%,2,15.38%,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
13030,VIKTOR,TSYGANKOV,TSYGANKOV V.,15-11-1997,131342,64,30,24,80.00%,33,,1,3,5,,1,20.00%,,,5,,,,,4,,5,100.00%,,,,0.176,0.556,0.426,0.000,0.163,0.379,0.176,0.176,577,2,2,100.00%,1,50.00%,1,50.00%,4,12.12%,,,,,,,,,,,1,50.00%,,,,,,4,13.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
25840,OLEKSANDR,TYMCHYK,TYMCHYK O.,20-01-1997,131342,23,10,8,80.00%,5,,,1,2,3,,,,,1,1,100.00%,,,,,1,100.00%,1,100.00%,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,577,,,,,,,,2,40.00%,,,,,,,,,,,,,,,,,,1,10.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17326,ROMAN,YAREMCHUK,YAREMCHUK R.,27-11-1995,131342,32,6,4,66.67%,9,,,,4,,1,25.00%,,,4,,,,,4,,2,50.00%,,,1,0.308,0.327,0.000,0.000,0.187,0.019,0.308,0.267,577,2,1,50.00%,1,50.00%,1,50.00%,4,44.44%,1,25.00%,1,11.11%,,,,,1,25.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7845,ANDRIY,YARMOLENKO,YARMOLENKO A.,23-10-1989,131342,32,16,10,62.50%,15,,1,1,2,1,,,1,100.00%,2,1,50.00%,,,1,100.00%,1,50.00%,1,100.00%,1,0.094,0.000,0.525,0.000,0.506,-0.094,0.094,0.094,577,1,,,1,100.00%,,,,,,,2,13.33%,,,,,,,,,,,1,,,3,18.75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10072,OLEKSANDR,ZINCHENKO,ZINCHENKO O.,15-12-1996,131342,96,87,79,90.80%,63,3,1,1,3,11,,,5,45.45%,11,8,72.73%,2,25.00%,1,12.50%,3,27.27%,3,100.00%,,0.000,0.000,0.252,0.021,0.252,0.000,0.000,0.000,577,,,,,,,,,,,,,,,,,3,5,45.45%,,,,,9,,,1,1.15%,,,1,,,,,,,,,,,,3,60.00%,,,,,,,,,,,,,,,,2,18.18%,,,,,,,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
