Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaFuori,tiriDaFuori_PERC,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passRicevuti,giochiPortiereRicevuti,cross,palleLaterali,perdePalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,dribbling,duelli,duelliPersiMetaCampo,duelliAerei,duelliAerei_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,passChiave,triangolazione,triFatta,triFatta_PERC,recuperaPalla,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribblingPositivo,dribblingPositivo_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelliVinti,duelliVinti_PERC,duelliPersiMetaCampo_PERC,duelliTackle,duelliTackle_PERC,falliFatti,ammonizioni,retiSub,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliSubiti,passRicevutiInArea,passRicevutiInArea_PERC,traversoni,assist,passChiaveInArea,passChiaveInArea_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,crossRiusciti,crossRiusciti_PERC,triChiusa,triChiusa_PERC,tiriDaArea,tiriDaArea_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,parate,uscite,interventoPositivo,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,cutBack,cutBackRiusciti,cutBackRiusciti_PERC,tiriDiTesta,tiriDiTesta_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolTesta,tiroGolTesta_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,assistInArea,assistInArea_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,assistVincenti,assistVincenti_PERC,assistVincentiInArea,assistVincentiInArea_PERC,cutBackVincenti,cutBackVincenti_PERC,inFuorigioco,thirdPass,thirdPassVincenti,thirdPassVincenti_PERC
7570,DUSAN,TADIC,TADIC D.,20-11-1988,131356,34,,,,,,17,4,23.53%,13,76.47%,15,,,,2,1,50.00%,1,9,,3,33.33%,,,0.000,0.000,0.510,0.000,0.510,0.000,0.000,0.000,467,,,,,1,,,1,100.00%,,,,7,77.78%,,2,22.22%,1,1,,2,100.00%,,,2,22.22%,4,57.14%,3,100.00%,1,50.00%,2,,,,,,,3,75.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12262,MILOS,VELJKOVIC,VELJKOVIC M.,26-09-1995,131356,96,,,,,,67,1,1.49%,65,97.01%,60,2,,,1,1,100.00%,,4,1,2,50.00%,,,0.000,0.000,0.104,0.000,0.104,0.000,0.000,0.000,467,,,,,4,1,25.00%,,,,,,2,50.00%,50.00%,1,25.00%,1,,1,,,,,,,1,50.00%,1,50.00%,1,100.00%,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16827,DUSAN,VLAHOVIC,VLAHOVIC D.,28-01-2000,131356,96,2,2,100.00%,2,100.00%,9,1,11.11%,4,44.44%,14,2,,1,10,2,20.00%,1,18,13,4,22.22%,2,100.00%,0.173,0.329,0.323,0.000,0.325,0.156,0.173,0.000,467,,,,,1,,,1,100.00%,1,1,100.00%,3,16.67%,433.33%,10,55.56%,2,,1,2,20.00%,2,14.29%,,,2,66.67%,1,25.00%,1,10.00%,,1,7.14%,,,,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
13365,ANDRIJA,ZIVKOVIC,ZIVKOVIC A.,11-07-1996,131356,76,,,,,,45,6,13.33%,36,80.00%,37,2,2,4,7,2,28.57%,1,7,2,2,28.57%,,,0.000,0.000,1.117,0.051,0.820,0.000,0.000,0.000,467,2,,,,4,2,50.00%,1,100.00%,,,,3,42.86%,66.67%,3,42.86%,1,,1,,,,,,,3,100.00%,,,2,66.67%,,1,2.70%,,1,,,2,33.33%,,,1,50.00%,,,,,,,2,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
11389,TRENT,ALEXANDER-ARNOLD,ALEXANDER-ARNOLD T.,07-10-1998,131356,71,3,2,66.67%,3,100.00%,48,6,12.50%,42,87.50%,43,,1,2,7,4,57.14%,3,10,1,,,2,100.00%,0.109,0.198,0.977,0.000,1.086,0.088,0.109,0.000,16,3,1,,,6,2,33.33%,1,33.33%,2,1,50.00%,5,50.00%,20.00%,3,30.00%,1,,,2,28.57%,3,6.98%,1,10.00%,2,40.00%,,,2,66.67%,1,,,,,,,2,33.33%,,,,,1,100.00%,,,,,2,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,
24532,JUDE,BELLINGHAM,BELLINGHAM J.,29-06-2003,131356,88,1,1,100.00%,,,73,3,4.11%,71,97.26%,76,1,1,1,7,,,6,23,7,,,,,0.251,0.531,0.445,0.000,0.021,0.280,0.251,0.000,16,2,,,,5,1,20.00%,3,50.00%,3,1,33.33%,14,60.87%,50.00%,9,39.13%,1,,,,,7,9.21%,4,17.39%,7,50.00%,,,5,55.56%,4,2,2.63%,,,,,2,66.67%,1,100.00%,,,,,1,100.00%,1,14.29%,1,20.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,100.00%,1,100.00%,1,100.00%,1,100.00%,,,,,,,,,,,,,,
30194,JARROD,BOWEN,BOWEN J.,20-12-1996,131356,19,,,,,,7,1,14.29%,6,85.71%,9,2,1,1,1,,,1,8,3,2,25.00%,,,0.000,0.000,0.301,0.071,0.301,0.000,0.000,0.000,16,1,,,,,,,1,100.00%,1,1,100.00%,4,50.00%,75.00%,4,50.00%,,,,,,1,11.11%,,,2,50.00%,,,3,75.00%,,,,,1,1,100.00%,1,100.00%,2,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,
15748,PHILIP WALTER,FODEN,FODEN P.,28-05-2000,131356,96,,,,,,58,2,3.45%,50,86.21%,55,1,,,4,2,50.00%,,5,1,1,20.00%,,,0.000,0.000,0.375,0.042,0.266,0.000,0.000,0.000,16,3,,,,5,,,,,,,,2,40.00%,50.00%,2,40.00%,,,,,,2,3.64%,2,40.00%,1,50.00%,,,,,2,1,1.82%,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25676,CONOR,GALLAGHER,GALLAGHER C.,06-02-2000,131356,25,,,,,,12,,,12,100.00%,10,,,,1,,,1,11,4,2,18.18%,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16,,,,,3,2,66.67%,1,100.00%,1,1,100.00%,6,54.55%,66.67%,3,27.27%,1,,,,,,,3,27.27%,6,100.00%,1,50.00%,1,33.33%,3,,,,,,,,,,,,,,,,,,,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25673,MARC,GUEHI,GUEHI M.,13-07-2000,131356,96,,,,,,53,,,51,96.23%,48,6,,,1,1,100.00%,,8,2,3,37.50%,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16,2,,,,4,1,25.00%,,,1,1,100.00%,4,50.00%,50.00%,4,50.00%,,,,,,,,,,,,1,33.33%,3,75.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7345,HARRY,KANE,KANE H.,28-07-1993,131356,96,1,1,100.00%,,,11,,,9,81.82%,28,7,,,11,3,27.27%,1,28,8,9,32.14%,,,0.206,0.132,0.000,0.000,-0.096,-0.074,0.206,0.000,16,,,,,2,,,,,1,1,100.00%,16,57.14%,50.00%,10,35.71%,1,,,2,18.18%,2,7.14%,6,21.43%,10,62.50%,4,44.44%,6,60.00%,6,2,7.14%,,,,,,,6,85.71%,,,,,1,100.00%,1,50.00%,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,1,100.00%,,,1,100.00%,,,,,,,,,,
58426,KOBBIE BOATENG,MAINOO,MAINOO K.,19-04-2005,131356,8,,,,,,2,,,2,100.00%,3,,,,,,,,1,,1,100.00%,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12802,JORDAN,PICKFORD,PICKFORD J.,07-03-1994,131356,96,,,,,,44,2,4.55%,37,84.09%,32,,,,4,1,25.00%,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,,,,,,,,,,,,,1,1,,1,1,100.00%,19,14,13,68.42%,14,100.00%,11,3,27.27%,3,27.27%,1,100.00%,,5,45.45%,0.724,0.724,,,,,,,,,,,,,,,,,,,,,,,,,,,
22931,DECLAN,RICE,RICE D.,14-01-1999,131356,96,,,,,,81,1,1.23%,78,96.30%,68,1,,,4,1,25.00%,1,16,2,5,31.25%,,,0.000,0.000,0.241,0.040,-0.132,0.000,0.000,0.000,16,3,,,,7,2,28.57%,1,100.00%,3,2,66.67%,8,50.00%,25.00%,6,37.50%,1,,,2,50.00%,1,1.47%,,,2,25.00%,1,20.00%,5,83.33%,,3,4.41%,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18698,BUKAYO,SAKA,SAKA B.,05-09-2001,131356,78,,,,,,35,3,8.57%,31,88.57%,39,3,2,4,8,3,37.50%,7,16,4,2,12.50%,,,0.000,0.000,0.880,0.115,0.685,0.000,0.000,0.000,16,2,1,1,100.00%,2,,,4,57.14%,1,,,8,50.00%,50.00%,3,18.75%,2,,,2,25.00%,6,15.38%,2,12.50%,6,75.00%,,,1,33.33%,2,1,2.56%,,2,1,50.00%,2,66.67%,1,33.33%,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,50.00%,,,,,,,,,,,1,50.00%,,,1,50.00%,1,100.00%,1,50.00%,,,,
10024,JOHN,STONES,STONES J.,28-05-1994,131356,96,,,,,,64,,,58,90.63%,53,2,,,4,3,75.00%,,7,1,4,57.14%,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16,4,,,,4,,,,,,,,5,71.43%,20.00%,2,28.57%,1,,,4,100.00%,,,,,,,4,100.00%,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9271,KIERAN,TRIPPIER,TRIPPIER K.,19-09-1990,131356,96,,,,,,44,,,39,88.64%,33,1,,,4,2,50.00%,,10,,3,30.00%,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16,1,,,,7,3,42.86%,,,2,1,50.00%,7,70.00%,,4,40.00%,,,,2,50.00%,1,3.03%,1,10.00%,2,28.57%,3,100.00%,2,50.00%,1,1,3.03%,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
7348,KYLE,WALKER,WALKER K.,28-05-1990,131356,96,1,,,,,84,3,3.57%,77,91.67%,66,3,,,3,,,,5,1,2,40.00%,,,0.145,0.000,0.000,0.000,0.145,-0.145,0.145,0.000,16,2,,,,7,,,,,2,2,100.00%,2,40.00%,50.00%,1,20.00%,,,,,,1,1.52%,,,1,50.00%,1,50.00%,1,100.00%,,,,,,,,2,66.67%,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,100.00%
