Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,passChiave,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,giochiPortiereRicevuti,perdePalla,recuperaPalla,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribblingSub,duelli,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,retiSub,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,cutBack,palleLaterali,dribbling,dribblingPositivo,dribblingPositivo_PERC,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,tiriDaFuori,tiriDaFuori_PERC,passChiaveInArea,passChiaveInArea_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,assist,assistVincenti,assistVincenti_PERC,assistInArea,assistInArea_PERC,assistVincentiInArea,assistVincentiInArea_PERC,traversoni,traversoniRiusciti,traversoniRiusciti_PERC,traversoniVincenti,traversoniVincenti_PERC,triangolazione,triChiusa,triChiusa_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,cross,triFatta,triFatta_PERC,perdeMetaCampoProria,perdeMetaCampoProria_PERC,duelliFalliDiGioco,duelliFalliDiGioco_PERC,falliSubiti,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,ammonizioni,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolPiede,tiroGolPiede_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,interventoPositivo,parate,uscite,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,parataPiede,parataPiede_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,crossRiusciti,crossRiusciti_PERC,tiriDiTesta,tiriDiTesta_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiroGolAreaPiccola,tiroGolAreaPiccola_PERC,tiroGolTesta,tiroGolTesta_PERC,golSviluppoCorner,golSviluppoCorner_PERC
8627,SERGEJ,MILINKOVIC-SAVIC,MILINKOVIC-SAVIC S.,27-02-1995,131355,33,,10,1,10.00%,9,90.00%,10,2,20.00%,,1,1,,,1,5,3,60.00%,3,100.00%,2,66.67%,2,40.00%,2,100.00%,2,40.00%,1,50.00%,,1,0.232,0.000,0.234,0.000,0.162,-0.232,0.232,0.000,467,,,,,,1,100.00%,1,,,1,100.00%,,,,,1,100.00%,2,20.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,
7569,ALEKSANDAR,MITROVIC,MITROVIC A.,16-09-1994,131355,98,,19,1,5.26%,17,89.47%,33,8,24.24%,2,7,3,1,33.33%,1,29,15,51.72%,12,80.00%,10,66.67%,14,48.28%,8,57.14%,8,27.59%,3,37.50%,,1,1.569,0.719,0.132,0.000,-0.020,-0.850,1.569,0.000,467,,,3,1,33.33%,1,100.00%,6,2,33.33%,6,100.00%,,,,,1,100.00%,10,30.30%,,,,,,,,,,,,,2,1,50.00%,,,,1,50.00%,3,42.86%,3,10.34%,3,1,33.33%,2,28.57%,,6,60.00%,,,,,,,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100.00%,,,2,33.33%,1,16.67%,,,,,,
8087,FILIP,MLADENOVIC,MLADENOVIC F.,15-08-1991,131355,46,,27,3,11.11%,18,66.67%,22,,,,4,,,,,3,1,33.33%,,,,,,,,,1,33.33%,,,1,,0.000,0.000,0.681,0.000,0.681,0.000,0.000,0.000,467,,3,,,,,,,,,,,,,,,,,1,4.55%,,,,,,,,1,,,,,1,1,100.00%,,,2,,,,,1,33.33%,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22425,STRAHINJA,PAVLOVIC,PAVLOVIC S.,24-05-2001,131355,98,5,65,5,7.69%,55,84.62%,57,2,3.51%,1,5,5,,,5,20,11,55.00%,2,18.18%,5,45.45%,7,35.00%,3,42.86%,5,25.00%,4,80.00%,1,1,0.000,0.000,0.543,0.056,0.384,0.000,0.000,0.000,467,,1,1,1,100.00%,3,60.00%,,,,,,,,1,20.00%,3,60.00%,,,1,,,1,100.00%,,,,,,,,,,,,,1,,,3,60.00%,1,5.00%,1,,,6,120.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11893,PREDRAG,RAJKOVIC,RAJKOVIC P.,31-10-1995,131355,98,,19,,,15,78.95%,9,,,,4,7,1,14.29%,,2,2,100.00%,,,,,,,,,,,,,,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,467,,,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25.00%,1,50.00%,1,,,,,,,,,,,,,,,,1,3,5,4,3,75.00%,4,4,3,75.00%,3,75.00%,11,6,54.55%,1,9.09%,2,66.67%,1,33.33%,1,4,36.36%,1.290,0.290,,,,,,,,,,,,,,
26642,LAZAR,SAMARDZIC,SAMARDZIC L.,24-02-2002,131355,15,,10,5,50.00%,5,50.00%,6,,,,1,,,,,,,,,,,,,,,,,,,,,,0.086,0.000,0.733,0.000,0.819,-0.086,0.086,0.000,467,,1,,,,,,1,,,,,1,100.00%,,,,,2,33.33%,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7570,DUSAN,TADIC,TADIC D.,20-11-1988,131355,82,3,44,8,18.18%,38,86.36%,43,2,4.65%,,4,2,1,50.00%,,19,8,42.11%,7,87.50%,9,112.50%,4,21.05%,,,13,68.42%,6,46.15%,,1,0.000,0.000,1.362,0.252,1.362,0.000,0.000,0.000,467,1,3,,,,,,,,,,,,,3,100.00%,6,75.00%,4,9.30%,3,,,3,100.00%,,,,,,,,1,1,100.00%,,,2,,,1,25.00%,2,10.53%,2,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,,,,,,,,,,
12262,MILOS,VELJKOVIC,VELJKOVIC M.,26-09-1995,131355,98,7,93,3,3.23%,87,93.55%,76,,,,2,10,1,10.00%,1,10,5,50.00%,,,1,20.00%,4,40.00%,,,5,50.00%,4,80.00%,,1,0.000,0.000,0.158,0.000,0.158,0.000,0.000,0.000,467,,1,,,,,,,,,,,,,,,1,33.33%,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,10.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16827,DUSAN,VLAHOVIC,VLAHOVIC D.,28-01-2000,131355,64,,11,1,9.09%,7,63.64%,18,4,22.22%,,7,,,,,15,5,33.33%,4,80.00%,9,180.00%,1,6.67%,,,11,73.33%,4,36.36%,1,,0.285,0.714,0.296,0.000,0.127,0.429,0.285,0.000,467,,,1,,,,,3,2,66.67%,1,33.33%,2,66.67%,,,,,4,22.22%,,,,,,,,,,,,,,,,1,50.00%,,,,1,14.29%,1,6.67%,1,,,,,,2,50.00%,,,,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,33.33%,,,,,,,,
13365,ANDRIJA,ZIVKOVIC,ZIVKOVIC A.,11-07-1996,131355,82,5,58,10,17.24%,53,91.38%,48,,,,3,2,1,50.00%,,8,3,37.50%,2,66.67%,5,166.67%,1,12.50%,,,3,37.50%,1,33.33%,,1,0.000,0.000,1.424,0.181,1.424,0.000,0.000,0.000,467,,7,4,2,50.00%,,,,,,,,,,4,80.00%,7,70.00%,,,3,,,3,100.00%,,,2,1,50.00%,,,1,1,100.00%,,,4,,,1,33.33%,,,,1,50.00%,2,66.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,75.00%,,,,,,,,,,
