Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,passChiave,pass,passRiusciti,passRiusciti_PERC,passRicevuti,giochiPortiereRicevuti,perdePalla,recuperaPalla,dribbling,dribblingPositivo,dribblingPositivo_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaFuori,tiriDaFuori_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,triangolazione,triChiusa,triChiusa_PERC,perdeMetaCampoProria,perdeMetaCampoProria_PERC,duelliFalliDiGioco,duelliFalliDiGioco_PERC,falliSubiti,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,tiriDaArea,tiriDaArea_PERC,passInArea,passInArea_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevutiInArea,passRicevutiInArea_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,assist,triFatta,triFatta_PERC,inFuorigioco,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,ammonizioni,passChiaveInArea,passChiaveInArea_PERC,assistInArea,assistInArea_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,thirdPass,interventoPositivo,cross,crossRiusciti,crossRiusciti_PERC,traversoni,palleLaterali,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,tiriDiTesta,tiriDiTesta_PERC,rinvio,rinvioDalFondo,rinvioDalFondo_PERC,parate,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,parataPiede,parataPiede_PERC,FxGoT,gkGP,uscite
16557,KOEN,CASTEELS,CASTEELS K.,25-06-1992,131362,96,2,29,24,82.76%,20,,5,1,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,55.56%,5,5,5,100.00%,5,15,1,20.00%,15,100.00%,3,33.33%,1,11.11%,5,100.00%,,,2.112,2.112,1
8589,KEVIN,DE BRUYNE,DE BRUYNE K.,28-06-1991,131362,96,6,72,55,76.39%,60,,10,2,5,3,60.00%,3,2,66.67%,21,11,52.38%,7,63.64%,7,63.64%,6,28.57%,4,66.67%,7,33.33%,3,42.86%,,0.048,0.386,1.889,0.157,1.262,0.339,0.048,0.036,428,2,1,50.00%,2,100.00%,5,8.33%,1,,,1,10.00%,,,,1,100.00%,,,14,19.44%,6,42.86%,1,20.00%,2,3.33%,,,4,1,100.00%,,,,,,,3,50.00%,2,50.00%,1,50.00%,2,20.00%,1,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24564,JEREMY,DOKU,DOKU J.,27-05-2002,131362,79,2,43,37,86.05%,52,,7,1,6,4,66.67%,1,1,100.00%,21,10,47.62%,4,40.00%,7,70.00%,2,9.52%,,,8,38.10%,3,37.50%,1,0.114,0.848,0.995,0.034,1.009,0.734,0.114,0.080,428,2,2,100.00%,2,100.00%,5,9.62%,,,,1,14.29%,3,14.29%,3,2,100.00%,,,3,6.98%,,,1,20.00%,1,1.92%,,,1,,,,,,,,,,,,,1,100.00%,,,,,2,,,1,3,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
17687,WOUT,FAES,FAES W.,03-04-1998,131362,96,1,59,52,88.14%,49,5,5,4,1,1,100.00%,2,1,50.00%,16,6,37.50%,2,33.33%,4,66.67%,6,37.50%,2,33.33%,3,18.75%,1,33.33%,3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,428,,,,,,,,,,,1,20.00%,1,6.25%,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,25.00%,,,,1,,,,,,,,,,3,3,100.00%,,,,,,,,,,,,,,,,,,,,,
7407,YANNICK,FERREIRA CARRASCO,CARRASCO Y.,04-09-1993,131362,33,,8,7,87.50%,11,,2,,1,,,,,,4,,,,,4,,1,25.00%,,,1,25.00%,,,1,0.089,0.161,0.475,0.000,0.404,0.072,0.089,0.089,428,1,1,100.00%,,,2,18.18%,,,,,,,,,,,1,100.00%,3,37.50%,2,66.67%,1,50.00%,1,9.09%,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9406,ROMELU,LUKAKU,LUKAKU R.,13-05-1993,131362,92,1,13,11,84.62%,18,,2,1,1,1,100.00%,,,,12,9,75.00%,5,55.56%,3,33.33%,5,41.67%,3,60.00%,5,41.67%,4,80.00%,,0.360,0.406,0.777,0.052,0.585,0.046,0.360,0.360,428,2,2,100.00%,,,7,38.89%,1,1,100.00%,,,1,8.33%,1,,,2,100.00%,1,7.69%,,,1,14.29%,4,22.22%,,,1,,,,,,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17696,OREL,MANGALA,MANGALA O.,18-03-1998,131362,33,,19,19,100.00%,16,,1,3,,,,2,2,100.00%,8,4,50.00%,3,75.00%,1,25.00%,1,12.50%,1,100.00%,3,37.50%,2,66.67%,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,428,,,,,,,,,,,1,100.00%,1,12.50%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27431,AMADOU,ONANA,ONANA A.,16-08-2001,131362,96,6,64,60,93.75%,52,1,3,7,3,3,100.00%,,,,9,7,77.78%,6,85.71%,,,2,22.22%,1,50.00%,2,22.22%,1,50.00%,,0.000,0.000,0.000,0.045,0.000,0.000,0.000,0.000,428,,,,,,1,1.92%,,,,,,2,22.22%,2,,,,,4,6.25%,3,75.00%,,,,,,,1,,,,,,,,,3,50.00%,,,3,42.86%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17378,LOIS,OPENDA,OPENDA L.,16-02-2000,131362,5,,,,,,,1,,,,,,,,2,1,50.00%,1,100.00%,1,100.00%,,,,,2,100.00%,1,50.00%,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26708,ARTHUR,THEATE,THEATE A.,25-05-2000,131362,96,1,80,71,88.75%,63,4,10,10,,,,,,,4,,,,,4,,1,25.00%,,,2,50.00%,,,1,0.016,0.000,0.538,0.000,0.554,-0.016,0.016,0.016,428,1,,,1,100.00%,2,3.17%,2,2,100.00%,1,10.00%,,,,,,,,4,5.00%,,,,,,,,,,,,,,,,,,,,,,4,40.00%,,,,,2,,,,2,2,20.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
13799,YOURI,TIELEMANS,TIELEMANS Y.,07-05-1997,131362,63,2,45,38,84.44%,43,,3,1,,,,1,1,100.00%,5,3,60.00%,2,66.67%,2,66.67%,1,20.00%,1,100.00%,3,60.00%,2,66.67%,,0.088,0.000,0.446,0.000,0.326,-0.088,0.088,0.088,428,2,,,2,100.00%,3,6.98%,,,,,,,,,,,,,4,8.89%,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13125,LEANDRO,TROSSARD,TROSSARD L.,04-12-1994,131362,64,3,37,34,91.89%,36,,3,2,,,,,,,2,1,50.00%,1,100.00%,1,100.00%,,,,,1,50.00%,,,,0.000,0.000,0.101,0.048,-0.076,0.000,0.000,0.000,428,,,,,,2,5.56%,3,1,33.33%,,,1,50.00%,1,,,,,1,2.70%,,,1,50.00%,2,5.56%,,,2,2,66.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8549,JAN,VERTONGHEN,VERTONGHEN J.,24-04-1987,131362,96,3,61,56,91.80%,46,4,1,8,,,,,,,8,5,62.50%,2,40.00%,1,20.00%,7,87.50%,4,57.14%,1,12.50%,1,100.00%,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,428,,,,,,,,2,,,1,100.00%,,,,,,,,,,,,,,,,,,,2,100.00%,,,,,,,,,,,3,37.50%,2,200.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
