Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,passChiave,passChiaveInArea,passChiaveInArea_PERC,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passRicevuti,assist,assistInArea,assistInArea_PERC,perdePalla,recuperaPalla,duelli,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,passChiaveRicevuti,passChiaveRicevuti_PERC,passRicevutiInArea,passRicevutiInArea_PERC,triangolazione,triFatta,triFatta_PERC,dribbling,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliAerei,duelliAerei_PERC,falliSubiti,retiSub,perdeMetaCampoProria,perdeMetaCampoProria_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelliAereiVinti,duelliAereiVinti_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,ammonizioni,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaFuori,tiriDaFuori_PERC,giochiPortiereRicevuti,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,rinvio,rinvioDalFondo,rinvioDalFondo_PERC,triChiusa,triChiusa_PERC,dribblingPositivo,dribblingPositivo_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,cross,crossRiusciti,crossRiusciti_PERC,palleLaterali,tiriDaArea,tiriDaArea_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,parate,uscite,interventoPositivo,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,parataPiede,parataPiede_PERC,retiSubGK,FxGoT,gkGP,tiriDiRigore,tiriDiRigore_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolRigore,tiroGolRigore_PERC,tiroGolPiede,tiroGolPiede_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,inFuorigioco,tiriDiTesta,tiriDiTesta_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,interventoNegativo,traversoni,golProcurati,tiroGolAreaPiccola,tiroGolAreaPiccola_PERC,golSviluppoCorner,golSviluppoCorner_PERC,tiriRigoreSubiti
13794,ANTONIN,BARAK,BARAK A.,03-12-1994,131376,15,,,,12,2,16.67%,11,91.67%,1,50.00%,11,,,,,,1,,,,,1,,,,,,,0.000,0.000,0.306,0.000,0.306,0.000,0.000,0.000,263,3,27.27%,1,9.09%,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10176,VACLAV,CERNY,CERNY V.,17-10-1997,131376,60,,,,35,7,20.00%,26,74.29%,4,57.14%,28,,,,8,2,7,2,28.57%,1,50.00%,4,200.00%,2,28.57%,1,50.00%,1,0.517,1.014,1.542,0.000,1.409,0.498,0.517,0.000,263,1,3.57%,1,3.57%,3,3,100.00%,1,,,1,14.29%,,1,1,12.50%,2,2,100.00%,,,,,,2,2,100.00%,1,50.00%,,,,1,50.00%,2,100.00%,,,,,,1,100.00%,1,50.00%,2,2,100.00%,2,1,50.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,1,,,,,,,,,,,,
60006,MOJMIR,CHYTIL,CHYTIL M.,29-04-1999,131376,27,,,,2,,,2,100.00%,,,5,,,,,1,6,3,50.00%,1,33.33%,3,100.00%,,,,,,0.222,0.000,0.000,0.000,0.037,-0.222,0.222,0.000,263,3,60.00%,1,20.00%,,,,1,1,16.67%,4,66.67%,1,,,,,,,2,50.00%,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,
13139,VLADIMIR,COUFAL,COUFAL V.,22-08-1992,131376,101,5,2,40.00%,74,19,25.68%,55,74.32%,4,21.05%,52,3,2,66.67%,3,4,10,1,10.00%,,,8,800.00%,7,70.00%,1,14.29%,1,0.000,0.000,3.642,0.169,3.642,0.000,0.000,0.000,263,1,1.92%,1,1.92%,1,,,,,,2,20.00%,,1,,,,,,,,,,1,,,,,,,,,,,1,25.00%,,,,1,100.00%,,,1,25.00%,9,1,11.11%,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24782,ADAM,HLOZEK,HLOZEK A.,25-07-2002,131376,61,1,,,12,,,12,100.00%,,,16,,,,3,1,10,4,40.00%,3,75.00%,6,150.00%,5,50.00%,1,20.00%,2,0.782,1.762,0.462,0.000,0.980,0.980,0.782,0.000,263,1,6.25%,1,6.25%,1,,,,2,20.00%,1,10.00%,2,1,1,33.33%,1,,,,,,,,3,3,100.00%,1,33.33%,,,,1,33.33%,,,,,,1,100.00%,,,,,,,,,2,66.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,66.67%,,,,1,33.33%,,,,,,,,
24403,TOMAS,HOLES,HOLES T.,31-03-1993,131376,101,3,,,60,3,5.00%,53,88.33%,1,33.33%,49,,,,6,6,11,8,72.73%,3,37.50%,3,37.50%,4,36.36%,4,100.00%,1,0.049,0.077,0.487,0.000,0.387,0.029,0.049,0.000,263,1,2.04%,,,1,1,100.00%,,1,9.09%,3,27.27%,1,1,2,33.33%,2,1,50.00%,2,66.67%,2,33.33%,1,1,1,100.00%,1,100.00%,3,,,1,100.00%,2,33.33%,,,,,,,,,,1,1,100.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42336,ROBIN,HRANAC,HRANAC R.,29-01-2000,131376,101,5,,,50,,,45,90.00%,,,38,1,,,3,6,8,6,75.00%,1,16.67%,2,33.33%,4,50.00%,4,100.00%,3,0.000,0.000,0.182,0.058,0.182,0.000,0.000,0.000,263,,,,,,,,,,,1,12.50%,,1,1,33.33%,1,,,1,100.00%,2,66.67%,,,,,,,1,,,,,3,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
60731,DAVID,JURASEK,JURASEK D.,07-08-2000,131376,86,3,2,66.67%,53,9,16.98%,37,69.81%,4,44.44%,36,3,2,66.67%,9,5,9,4,44.44%,,,5,125.00%,1,11.11%,1,100.00%,1,0.049,0.000,1.731,0.166,1.780,-0.049,0.049,0.000,263,1,2.78%,,,2,,,3,,,3,33.33%,,1,,,1,1,100.00%,3,100.00%,,,1,1,,,1,100.00%,,,,,,1,20.00%,,,,2,100.00%,,,1,20.00%,6,3,50.00%,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36874,MATEJ,JURASEK,JURASEK M.,30-08-2003,131376,41,1,1,100.00%,22,10,45.45%,13,59.09%,2,20.00%,24,1,1,100.00%,4,,7,2,28.57%,2,100.00%,5,250.00%,2,28.57%,,,,0.130,0.790,1.573,0.030,1.702,0.660,0.130,0.000,263,5,20.83%,2,8.33%,,,,4,,,,,,,,,1,1,100.00%,,,,,,3,2,66.67%,3,100.00%,,,,2,100.00%,,,,,,,,2,50.00%,,,6,,,7,,,1,20.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24777,LADISLAV,KREJCI,KREJCI L. 99,20-04-1999,131376,101,3,1,33.33%,78,5,6.41%,67,85.90%,2,40.00%,62,2,1,50.00%,4,4,16,11,68.75%,2,18.18%,2,18.18%,7,43.75%,6,85.71%,3,0.444,0.712,0.601,0.076,0.264,0.269,0.444,0.000,263,2,3.23%,3,4.84%,,,,,,,3,18.75%,,1,,,3,,,2,66.67%,,,,3,1,33.33%,1,33.33%,1,,,,,,,,,,,,,,,,1,,,1,2,66.67%,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,1,33.33%,,,,,,,,,,
24818,ONDREJ,LINGR,LINGR O.,07-10-1998,131376,40,,,,14,2,14.29%,12,85.71%,1,50.00%,20,,,,4,,7,3,42.86%,1,33.33%,3,100.00%,4,57.14%,1,25.00%,,0.529,0.579,0.000,0.000,0.222,0.051,0.529,0.000,263,3,15.00%,2,10.00%,,,,,1,14.29%,2,28.57%,1,,1,25.00%,,,,1,50.00%,,,,2,1,50.00%,1,50.00%,,,,1,100.00%,,,,,,,,,,,,,,,1,1,50.00%,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,1,50.00%,,1,1,,,,,
21422,LUKAS,PROVOD,PROVOD L.,23-10-1996,131376,86,,,,44,2,4.55%,40,90.91%,,,34,,,,2,9,17,10,58.82%,3,30.00%,7,70.00%,7,41.18%,4,57.14%,2,0.059,0.117,0.318,0.000,0.211,0.058,0.059,0.000,263,1,2.94%,,,2,2,100.00%,1,2,11.76%,3,17.65%,2,1,,,2,1,50.00%,3,100.00%,,,1,1,1,100.00%,1,100.00%,,,,1,100.00%,4,44.44%,,,,,,,,1,11.11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8359,PATRIK,SCHICK,SCHICK P.,24-01-1996,131376,73,1,,,23,3,13.04%,18,78.26%,,,28,1,,,3,1,15,7,46.67%,5,71.43%,5,71.43%,7,46.67%,2,28.57%,,1.316,2.693,1.348,0.040,1.996,1.377,1.316,0.000,263,6,21.43%,3,10.71%,,,,,,,8,53.33%,,1,1,33.33%,,,,5,62.50%,,,,5,5,100.00%,1,20.00%,,,,1,20.00%,,,,,,,,,,,,1,,,1,4,80.00%,1,16.67%,,,,,,,,,,,,,,,,,,,,,,,,,,1,20.00%,1,100.00%,,,,,4,80.00%,,1,20.00%,1,20.00%,,,,1,100.00%,1,100.00%,
13147,PETR,SEVCIK,SEVCIK P.,04-05-1994,131376,15,3,,,21,,,18,85.71%,,,19,,,,3,2,4,3,75.00%,1,33.33%,1,33.33%,2,50.00%,1,50.00%,,0.000,0.000,0.266,0.000,0.266,0.000,0.000,0.000,263,,,1,5.26%,,,,,2,50.00%,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13592,TOMAS,SOUCEK,SOUCEK T.,27-02-1995,131376,101,5,1,20.00%,47,3,6.38%,43,91.49%,1,33.33%,39,4,1,25.00%,4,7,21,10,47.62%,2,20.00%,9,90.00%,6,28.57%,3,50.00%,2,0.164,0.090,0.820,0.237,0.053,-0.073,0.164,0.000,263,2,5.13%,4,10.26%,2,,,,2,9.52%,9,42.86%,2,1,,,2,1,50.00%,4,44.44%,,,1,1,1,100.00%,,,,,,,,4,57.14%,,,,2,100.00%,,,,,1,1,100.00%,1,1,100.00%,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,
27430,JINDRICH,STANEK,STANEK J.,27-04-1996,131376,101,,,,11,,,10,90.91%,,,1,,,,1,6,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,6,3,50.00%,,,,,,,,,,,,,,,,1,,1,,,,5,,,5,100.00%,2,33.33%,1,16.67%,,,,,1,1.421,0.421,,,,,,,,,,,,,,,,,,,,,,,,,1
