Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,tiri,tiriDaFuori,tiriDaFuori_PERC,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,giochiPortiereRicevuti,perdePalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,triangolazione,triFatta,triFatta_PERC,recuperaPalla,dribbling,dribblingPositivo,dribblingPositivo_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliSubiti,inFuorigioco,tiriInPorta,tiriInPorta_PERC,passChiave,passChiaveInArea,passChiaveInArea_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,assist,assistInArea,assistInArea_PERC,cross,crossRiusciti,crossRiusciti_PERC,traversoni,palleLaterali,triChiusa,triChiusa_PERC,duelliAerei,duelliAerei_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,ammonizioni,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,duelliAereiVinti,duelliAereiVinti_PERC,falliFatti,tiriDaArea,tiriDaArea_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,traversoniRiusciti,traversoniRiusciti_PERC,cutBack,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,parate,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,tiriDiTesta,tiriDiTesta_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,thirdPass,interventoPositivo
18698,BUKAYO,SAKA,SAKA B.,05-09-2001,131363,70,,,,35,5,14.29%,33,94.29%,,,35,1,2.86%,1,3,,,0.000,0.000,0.590,0.000,0.335,0.000,0.000,0.000,16,,,,,,2,1,1,100.00%,,,,9,2,22.22%,4,44.44%,3,75.00%,4,100.00%,1,11.11%,,,2,,,,2,1,50.00%,3,60.00%,,,,2,,,,2,,,3,33.33%,,,,1,50.00%,1,33.33%,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10024,JOHN,STONES,STONES J.,28-05-1994,131363,94,1,,,86,,,85,98.84%,1,1.23%,81,1,1.23%,7,2,1,50.00%,0.206,0.679,0.000,0.048,0.007,0.473,0.206,0.000,16,1,100.00%,,,,3,,,,1,1,100.00%,2,,,1,50.00%,1,100.00%,,,,,,,,,1,100.00%,1,,,,,1,,,,,,,,,,1,50.00%,,,,1,33.33%,1,100.00%,,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,1,33.33%,1,100.00%,,,,
9271,KIERAN,TRIPPIER,TRIPPIER K.,19-09-1990,131363,84,,,,109,7,6.42%,101,92.66%,,,89,,,3,3,1,33.33%,0.000,0.000,0.968,0.000,0.968,0.000,0.000,0.000,16,,,1,,,4,,,,3,3,100.00%,9,,,3,33.33%,1,33.33%,1,33.33%,2,22.22%,1,50.00%,,,,,2,,,6,85.71%,,,,,,,1,1,1,100.00%,4,44.44%,,,1,1,25.00%,2,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,66.67%,,
7348,KYLE,WALKER,WALKER K.,28-05-1990,131363,94,,,,100,2,2.00%,94,94.00%,1,1.14%,88,1,1.14%,1,2,,,0.000,0.000,0.562,0.000,-0.006,0.000,0.000,0.000,16,1,100.00%,,,,5,2,1,50.00%,1,,,6,,,4,66.67%,2,50.00%,1,25.00%,2,33.33%,2,100.00%,,,,,3,,,,,,,,,,,,,,,,,,,,2,40.00%,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
15846,JURE,BALKOVEC,BALKOVEC J.,09-09-1994,131363,4,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17403,JAKA,BIJOL,BIJOL J.,05-02-1999,131363,94,,,,36,1,2.78%,29,80.56%,,,22,,,2,3,1,33.33%,0.000,0.000,0.115,0.000,0.115,0.000,0.000,0.000,516,,,,,,6,,,,,,,7,,,3,42.86%,,,1,33.33%,1,14.29%,1,100.00%,,,,,1,,,1,100.00%,,,,,,,,,,,3,42.86%,,,1,1,16.67%,2,66.67%,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19385,ZAN,CELAR,CELAR Z.,14-03-1999,131363,9,,,,2,1,50.00%,1,50.00%,,,1,,,,1,,,0.000,0.000,0.126,0.000,0.126,0.000,0.000,0.000,516,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70169,VANJA,DRKUSIC,DRKUSIC V.,30-10-1999,131363,94,,,,23,,,18,78.26%,,,17,,,,4,1,25.00%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,516,,,,,,6,,,,3,,,7,1,14.29%,5,71.43%,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,28.57%,,,,,,1,50.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50.00%,,
25095,TIMI MAX,ELSNIK,ELSNIK T.,29-04-1998,131363,94,,,,22,,,22,100.00%,,,20,,,,2,1,50.00%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,516,,,,,,3,1,1,100.00%,3,1,33.33%,10,,,8,80.00%,4,50.00%,,,4,40.00%,4,100.00%,,,,,2,,,,,,,,,,,,,,,2,20.00%,,,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23908,ADAM,GNEZDA CERIN,CERIN A.,16-07-1999,131363,94,1,1,100.00%,37,1,2.70%,30,81.08%,1,3.33%,30,1,3.33%,,7,1,14.29%,0.033,0.000,0.372,0.000,0.304,-0.033,0.033,0.000,516,,,2,2,100.00%,6,1,1,100.00%,3,1,33.33%,13,1,7.69%,10,76.92%,2,20.00%,,,4,30.77%,2,50.00%,1,,,,,,,1,100.00%,,,,,,,,,,,4,30.77%,,,,2,33.33%,4,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9347,JON,GORENC STANKOVIC,GORENC STANKOVIC J.,14-01-1996,131363,9,,,,2,,,2,100.00%,,,2,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6045,JOSIP,ILICIC,ILICIC J.,29-01-1988,131363,19,,,,5,,,4,80.00%,,,10,,,2,4,1,25.00%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,516,,,,,,1,,,,,,,8,1,12.50%,2,25.00%,,,6,300.00%,5,62.50%,1,20.00%,1,,,,,,,,,,,,,,,,,,,1,12.50%,,,,1,100.00%,,,1,,,,,,,,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59411,ERIK,JANZA,JANZA E.,21-06-1993,131363,90,,,,25,3,12.00%,18,72.00%,,,15,1,6.67%,,5,1,20.00%,0.000,0.000,0.000,0.000,-0.372,0.000,0.000,0.000,516,,,,,,7,,,,4,3,75.00%,11,2,18.18%,5,45.45%,1,20.00%,1,20.00%,1,9.09%,1,100.00%,2,,,,,,,1,33.33%,,,,1,,,,1,,,2,18.18%,,,1,1,14.29%,1,50.00%,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,40.00%,,
30898,ZAN,KARNICNIK,KARNICNIK Z.,18-09-1994,131363,94,,,,43,1,2.33%,35,81.40%,,,31,,,3,2,,,0.000,0.000,0.293,0.000,0.293,0.000,0.000,0.000,516,,,,,,3,3,2,66.67%,3,3,100.00%,10,,,5,50.00%,1,20.00%,2,40.00%,3,30.00%,3,100.00%,,,,,1,,,,,,,,,,,,,,,1,10.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13500,JAN,MLAKAR,MLAKAR J.,23-10-1998,131363,85,,,,17,2,11.76%,11,64.71%,2,11.76%,17,1,5.88%,,5,3,60.00%,0.000,0.000,0.256,0.049,0.256,0.000,0.000,0.000,516,,,,,,1,1,,,2,1,50.00%,10,1,10.00%,4,40.00%,1,25.00%,,,4,40.00%,2,50.00%,1,,,,1,,,1,50.00%,1,,,1,1,100.00%,,1,,,1,10.00%,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7660,JAN,OBLAK,OBLAK J.,07-01-1993,131363,94,,,,28,,,24,85.71%,,,10,,,,4,1,25.00%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,516,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,100.00%,6,5,6,100.00%,5,100.00%,17,1,5.88%,6,35.29%,3,100.00%,10,58.82%,1.744,1.744,,,,,,,,
27995,BENJAMIN,SESKO,SESKO B.,31-05-2003,131363,75,1,,,12,,,9,75.00%,3,25.00%,12,2,16.67%,,4,3,75.00%,0.174,0.413,0.213,0.000,-0.047,0.239,0.174,0.000,516,1,33.33%,,,,2,,,,2,2,100.00%,5,,,1,20.00%,1,100.00%,3,300.00%,2,40.00%,,,,,1,100.00%,,,,,,,,,,,,,,,,1,20.00%,,,,2,100.00%,1,100.00%,,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,1
9064,ANDRAZ,SPORAR,SPORAR A.,27-02-1994,131363,86,2,2,100.00%,17,1,5.88%,11,64.71%,3,11.54%,26,,,2,9,1,11.11%,0.113,0.000,0.148,0.032,0.261,-0.113,0.113,0.000,516,,,1,,,1,1,1,100.00%,1,1,100.00%,20,3,15.00%,7,35.00%,2,28.57%,10,142.86%,3,15.00%,1,33.33%,3,,,,1,,,,,1,,,,,,,2,1,100.00%,11,55.00%,,,,,,2,18.18%,1,,,,,,,1,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8052,PETAR,STOJANOVIC,STOJANOVIC P.,07-10-1995,131363,94,,,,23,2,8.70%,19,82.61%,,,20,1,5.00%,2,3,,,0.000,0.000,0.420,0.075,0.163,0.000,0.000,0.000,516,,,1,,,3,7,5,71.43%,2,1,50.00%,17,1,5.88%,10,58.82%,6,60.00%,2,20.00%,5,29.41%,1,20.00%,1,,,,3,1,33.33%,2,100.00%,1,1,100.00%,,,,,,1,100.00%,2,11.76%,,,,1,33.33%,2,100.00%,,,,,,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,1,33.33%,,,,,,
