Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,tiriDiTesta,tiriDiTesta_PERC,passChiave,passChiaveInArea,passChiaveInArea_PERC,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,giochiPortiereRicevuti,assist,assistInArea,assistInArea_PERC,cross,crossRiusciti,crossRiusciti_PERC,palleLaterali,perdePalla,triangolazione,triFatta,triFatta_PERC,recuperaPalla,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,retiSub,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,tiriDaFuori,tiriDaFuori_PERC,cutBack,duelliFalliDiGioco,duelliFalliDiGioco_PERC,falliFatti,falliSubiti,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,dribbling,inFuorigioco,traversoni,dribblingPositivo,dribblingPositivo_PERC,tiroGol,tiroGol_PERC,tiroGolFuoriArea,tiroGolFuoriArea_PERC,tiroGolPiede,tiroGolPiede_PERC,perdeMetaCampoProria,perdeMetaCampoProria_PERC,interventoNegativo,autogol,thirdPass,ammonizioni,triChiusa,triChiusa_PERC,tiroGolArea,tiroGolArea_PERC,assistVincenti,assistVincenti_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiroGolAreaPiccola,tiroGolAreaPiccola_PERC,tiroGolTesta,tiroGolTesta_PERC,golSviluppoPunizioneDiretta,golSviluppoPunizioneDiretta_PERC,lanci,passaggiPortiere,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,assistVincentiInArea,assistVincentiInArea_PERC,crossVincenti,crossVincenti_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,golProcurati,parate,uscite,interventoPositivo,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC
23839,DANIEL,OLMO CARVAJAL,OLMO D.,07-05-1998,132290,41,5,5,100.00%,2,40.00%,,,4,2,50.00%,19,4,21.05%,17,89.47%,3,75.00%,11,44.00%,1,9.09%,25,3,12.00%,,4,2,50.00%,,,,,4,1,,,1,1,100.00%,,,,6,4,66.67%,4,100.00%,2,50.00%,,,,,3,50.00%,1,33.33%,2,40.00%,,1,100.00%,0.676,1.262,1.057,0.159,0.301,0.586,0.676,0.000,2,3,60.00%,,1,16.67%,,1,3,60.00%,2,,,2,100.00%,1,20.00%,,,1,100.00%,,,,,,,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13414,MIKEL,OYARZABAL UGARTE,OYARZABAL M.,21-04-1997,132290,27,,,,,,,,1,,,2,,,2,100.00%,,,,,,,3,,,,1,,,1,1,100.00%,1,1,,,,,,,,,,1,,,,,1,,,,,,1,100.00%,,,,,,,,0.000,0.000,0.172,0.045,0.172,0.000,0.000,0.000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16756,FABIAN,RUIZ,FABIAN RUIZ,03-04-1996,132290,83,6,4,66.67%,3,50.00%,1,16.67%,6,1,16.67%,91,6,6.59%,81,89.01%,4,66.67%,6,6.52%,3,50.00%,92,5,5.43%,,2,,,1,,,4,5,,,,5,4,80.00%,2,1,50.00%,11,5,45.45%,3,60.00%,6,120.00%,1,9.09%,,,2,18.18%,1,50.00%,3,75.00%,1,4,80.00%,0.853,1.154,0.607,0.086,-0.051,0.301,0.853,0.000,2,3,50.00%,,,,1,,1,25.00%,5,,,3,60.00%,1,16.67%,,,,,,,,,,,,,1,100.00%,1,50.00%,1,16.67%,1,100.00%,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14553,UNAI,SIMON MENDIBIL,SIMON U.,11-06-1997,132290,96,,,,,,,,,,,23,,,22,95.65%,,,,,,,16,,,,,,,,,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,1,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,16,16,100.00%,6,4,66.67%,1,2,33.33%,0.058,-0.942,,,,,,,,,,,,,,,,,
35462,NICHOLAS,WILLIAMS ARTHUER,WILLIAMS N.,12-07-2002,132290,96,5,4,80.00%,4,80.00%,,,3,2,66.67%,54,13,24.07%,48,88.89%,8,61.54%,5,9.62%,3,60.00%,52,6,11.54%,,3,2,66.67%,4,2,50.00%,6,3,1,,,2,,,1,1,100.00%,15,6,40.00%,4,66.67%,9,150.00%,1,6.67%,,,5,33.33%,3,60.00%,4,100.00%,1,,,0.543,0.397,2.227,0.113,2.289,-0.146,0.543,0.000,2,1,20.00%,,,,1,,,,7,,,3,42.86%,1,20.00%,,,1,100.00%,,,,,,,1,100.00%,1,100.00%,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31404,LAMINE,YAMAL NASRAOUI EBANA,LAMINE YAMAL,13-07-2007,132290,96,7,4,57.14%,3,42.86%,,,6,3,50.00%,65,12,18.46%,55,84.62%,7,58.33%,5,7.35%,2,40.00%,68,6,8.82%,,5,3,60.00%,4,2,50.00%,6,9,2,1,50.00%,2,2,100.00%,2,2,100.00%,18,6,33.33%,5,83.33%,10,166.67%,,,,,5,27.78%,2,40.00%,1,25.00%,1,2,100.00%,0.971,0.735,2.461,0.335,2.429,-0.237,0.971,0.000,2,4,57.14%,,2,11.11%,3,2,3,75.00%,6,1,,2,33.33%,,,,,,,,,,,,,1,50.00%,,,1,20.00%,1,14.29%,,,,,,,,,,,,,,,,,,,1,33.33%,1,25.00%,,,,,,,,,,,,,
27392,SANDRO,ALTUNASHVILI,ALTUNASHVILI S.,19-05-1997,132290,55,,,,,,,,,,,9,1,11.11%,7,77.78%,,,,,,,7,,,,,,,,,,,3,,,,2,,,,,,3,,,,,2,,1,33.33%,,,1,33.33%,,,,,3,,,0.000,0.000,0.103,0.000,0.103,0.000,0.000,0.000,461,,,,,,1,,,,,,,,,,,,,,,2,66.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23349,GIORGI,CHAKVETADZE,CHAKVETADZE G.,29-08-1999,132290,65,,,,,,,,1,,,17,,,13,76.47%,,,1,7.69%,,,13,,,,1,,,,,,,6,1,,,6,1,16.67%,2,,,7,4,57.14%,1,25.00%,,,1,14.29%,,,2,28.57%,1,50.00%,,,2,,,0.000,0.000,0.000,0.055,0.000,0.000,0.000,0.000,461,,,,,,,,,,2,,,1,50.00%,,,,,,,4,66.67%,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,100.00%,,,,,,,,,,,
27386,ZURIKO,DAVITASHVILI,DAVITASHVILI Z.,15-02-2001,132290,30,,,,,,,,,,,13,2,15.38%,11,84.62%,,,,,,,13,,,,,,,,,,,2,,,,,,,3,2,66.67%,8,4,50.00%,1,25.00%,2,50.00%,1,12.50%,1,100.00%,1,12.50%,,,,,2,,,0.000,0.000,0.365,0.000,0.365,0.000,0.000,0.000,461,,,,1,12.50%,1,1,,,1,,,1,100.00%,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10079,LASHA,DVALI,DVALI L.,14-05-1995,132290,96,,,,,,,,,,,35,,,31,88.57%,,,,,,,25,,,2,,,,,,,,2,,,,4,,,2,1,50.00%,8,5,62.50%,,,,,3,37.50%,2,66.67%,3,37.50%,2,66.67%,,,4,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,461,,,,,,,,,,,,,,,,,,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100.00%,,,,,,,,,,,
