Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,giochiPortiereRicevuti,traversoni,palleLaterali,perdePalla,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribbling,dribblingPositivo,dribblingPositivo_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,falliSubiti,retiSub,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,passChiave,passChiaveRicevuti,passChiaveRicevuti_PERC,thirdPass,triangolazione,triChiusa,triChiusa_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,duelliAereiVinti,duelliAereiVinti_PERC,rinvio,rinvioDalFondo,rinvioDalFondo_PERC,assist,cross,ammonizioni,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolPiede,tiroGolPiede_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,tiriDaFuori,tiriDaFuori_PERC,tiriDiTesta,tiriDiTesta_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,triFatta,triFatta_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,parate,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,retiSubGK,FxGoT,gkGP,crossRiusciti,crossRiusciti_PERC,passChiaveInArea,passChiaveInArea_PERC,assistInArea,assistInArea_PERC,tiroGolFuoriArea,tiroGolFuoriArea_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,cutBack,thirdPassVincenti,thirdPassVincenti_PERC,tiroGolAreaPiccola,tiroGolAreaPiccola_PERC,tiroGolTesta,tiroGolTesta_PERC,golSviluppoPunizioneCentrale,golSviluppoPunizioneCentrale_PERC,uscite,assistVincenti,assistVincenti_PERC,assistVincentiInArea,assistVincentiInArea_PERC,crossVincenti,crossVincenti_PERC
11048,OUSMANE,DEMBELE',DEMBELE' O.,15-05-1997,132627,80,42,19,45.24%,24,57.14%,36,4,11.11%,1,1,10,9,1,1,11.11%,,,2,1,50.00%,2,1,50.00%,10,1,10.00%,4,40.00%,3,75.00%,4,100.00%,,,3,30.00%,1,33.33%,2,1,2,,,0.000,0.000,3.142,0.052,2.247,0.000,0.000,0.000,423,3,2,5.56%,1,,,,,,,,,,,2,6,,,,,,,,,,,,,,,4,21.05%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,16.67%,2,66.67%,2,100.00%,,,,,2,1,100.00%,,,,,,,,,,,,,
7723,OLIVIER,GIROUD,GIROUD O.,30-09-1986,132627,18,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,2,,,,1,50.00%,,,1,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7617,ANTOINE,GRIEZMANN,GRIEZMANN A.,21-03-1991,132627,34,8,4,50.00%,5,62.50%,6,1,16.67%,,,2,2,1,1,50.00%,,,,,,1,1,100.00%,2,,,1,50.00%,1,100.00%,,,1,50.00%,,,,,,,,,,0.059,0.000,0.571,0.021,0.427,-0.059,0.059,0.059,423,1,1,16.67%,,,,,,,1,100.00%,,,,1,2,,1,,,1,100.00%,,,,,,,,,2,50.00%,,,,,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,
15562,THEO BERNARD FRANCOIS,HERNANDEZ,HERNANDEZ T.,06-10-1997,132627,98,36,2,5.56%,33,91.67%,32,1,3.13%,,,2,4,7,,,1,14.29%,3,2,66.67%,2,,,11,2,18.18%,9,81.82%,6,66.67%,2,22.22%,1,9.09%,2,18.18%,2,100.00%,1,2,2,,,0.078,0.000,0.538,0.052,0.502,-0.078,0.078,0.078,423,1,,,,1,,,,,1,100.00%,,,,1,2,,1,,,1,100.00%,,,,,,,,,1,50.00%,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,
11041,N'GOLO,KANTE',KANTE' N.,29-03-1991,132627,64,33,1,3.03%,27,81.82%,28,,,,,,5,1,2,40.00%,,,,,,,,,4,,,1,25.00%,,,1,100.00%,,,4,100.00%,1,25.00%,,,2,4,80.00%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,423,4,1,3.57%,,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25704,RANDAL,KOLO MUANI,KOLO MUANI R.,05-12-1998,132627,64,9,1,11.11%,7,77.78%,9,2,22.22%,,,,2,1,1,50.00%,,,,,,2,2,100.00%,8,1,12.50%,4,50.00%,2,50.00%,3,75.00%,1,12.50%,3,37.50%,2,66.67%,1,1,2,,,0.206,0.684,0.453,0.000,0.437,0.478,0.206,0.000,423,,2,22.22%,,,,,,,1,100.00%,,,,,,,1,1,100.00%,1,100.00%,1,100.00%,1,100.00%,,,1,100.00%,1,100.00%,,,,,1,100.00%,1,50.00%,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,100.00%,1,100.00%,,,,,,,
17928,JULES,KOUNDE',KOUNDE' J.,12-11-1998,132627,98,55,6,10.91%,44,80.00%,32,,,,,4,6,8,,,2,25.00%,3,2,66.67%,2,,,21,1,4.76%,14,66.67%,5,35.71%,,,7,33.33%,7,33.33%,4,57.14%,2,1,2,,,0.000,0.000,1.085,0.000,1.085,0.000,0.000,0.000,423,,1,3.13%,,1,,,1,12.50%,5,71.43%,,,,,4,,,,,,,,,,,,,,,1,16.67%,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,1,25.00%,,,,,,,,,,,,,,,,,,,,,,,,
21438,MIKE,MAIGNAN,MAIGNAN M.,03-07-1995,132627,98,25,,,18,72.00%,18,,,,,,4,3,1,25.00%,,,,,,1,,,1,,,1,100.00%,,,,,,,,,,,,,2,2,50.00%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,423,,,,,,,,,,,,6,1,16.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,6,13,1,16.67%,12,92.31%,4,66.67%,1,16.67%,,,2,0.621,-1.379,,,,,,,,,,,,,,,,,,,,2,,,,,,
11711,KYLIAN,MBAPPE',MBAPPE' K.,20-12-1998,132627,98,17,2,11.76%,14,82.35%,21,1,4.76%,,,2,3,,,,,,2,,,1,1,100.00%,5,,,,,,,4,,1,20.00%,1,20.00%,,,,,2,,,0.238,0.796,0.520,0.107,0.647,0.557,0.238,0.195,423,1,6,28.57%,,1,1,100.00%,,,,,,,,1,2,,4,3,75.00%,3,75.00%,,,,,,,2,66.67%,2,100.00%,,,1,25.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100.00%,1,100.00%,1,100.00%,,,1,33.33%,,,,,,,,,,,1,100.00%,1,100.00%,1,50.00%
7437,ADRIEN,RABIOT,RABIOT A.,03-04-1995,132627,64,23,1,4.35%,20,86.96%,22,,,,,,2,2,1,50.00%,,,3,2,66.67%,1,,,8,2,25.00%,7,87.50%,4,57.14%,,,,,2,25.00%,2,100.00%,,2,2,,,0.000,0.000,0.180,0.040,0.180,0.000,0.000,0.000,423,2,3,13.64%,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30184,WILLIAM,SALIBA,SALIBA W.,24-03-2001,132627,98,49,1,2.04%,44,89.80%,35,1,2.86%,6,,,2,4,,,,,,,,2,,,9,,,4,44.44%,2,50.00%,4,100.00%,,,3,33.33%,2,66.67%,4,,2,,,0.000,0.000,0.119,0.000,-0.249,0.000,0.000,0.000,423,3,,,1,1,1,100.00%,,,,,3,3,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17930,AURELIEN,TCHOUAMENI,TCHOUAMENI A.,27-01-2000,132627,98,36,,,34,94.44%,34,1,2.94%,,,,,,,,,,,,,5,4,80.00%,9,,,2,22.22%,,,1,50.00%,2,22.22%,1,11.11%,,,1,,2,,,0.157,0.075,0.000,0.000,-0.045,-0.082,0.157,0.157,423,1,1,2.94%,,,,,,,1,50.00%,,,,,,1,1,1,100.00%,1,100.00%,,,,,,,1,100.00%,,,,,,,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14949,DAYOT,UPAMECANO,UPAMECANO D.,27-10-1998,132627,98,41,1,2.44%,32,78.05%,28,2,7.14%,6,,1,5,8,1,20.00%,1,12.50%,,,,1,,,9,,,6,66.67%,2,33.33%,2,33.33%,6,66.67%,1,11.11%,1,100.00%,1,,2,2,40.00%,0.134,0.000,0.131,0.000,-0.125,-0.134,0.134,0.134,423,1,2,7.14%,,1,,,,,4,66.67%,,,,,1,,2,,,2,100.00%,,,,,,,,,,,,,,,2,100.00%,2,100.00%,1,100.00%,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
