Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaFuori,tiriDaFuori_PERC,passChiave,passChiaveInArea,passChiaveInArea_PERC,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,giochiPortiereRicevuti,assist,assistInArea,assistInArea_PERC,cross,traversoni,palleLaterali,perdePalla,triangolazione,triChiusa,triChiusa_PERC,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribbling,dribblingPositivo,dribblingPositivo_PERC,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,falliFatti,falliSubiti,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,retiSub,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,tiriDaArea,tiriDaArea_PERC,crossRiusciti,crossRiusciti_PERC,triFatta,triFatta_PERC,duelliTackleVinti,duelliTackleVinti_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,dribblingSub,tiriDiTesta,tiriDiTesta_PERC,inFuorigioco,interventoPositivo,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolAreaPiccola,tiroGolAreaPiccola_PERC,tiroGolPiede,tiroGolPiede_PERC,ammonizioni,cutBack,thirdPass,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,tiriInPortaSubitiPortiere,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,golProcurati,cutBackRiusciti,cutBackRiusciti_PERC,assistVincenti,assistVincenti_PERC,interventoNegativo,autogol,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,tiroGolFuoriArea,tiroGolFuoriArea_PERC,parate,uscite,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,parataMano,parataMano_PERC,parataPiede,parataPiede_PERC
25752,NUNO ALEXANDRE,TAVARES MENDES,NUNO MENDES,19-06-2002,131343,90,2,1,50.00%,1,50.00%,2,,,91,2,2.20%,78,85.71%,,,2,2.63%,1,50.00%,76,1,1.32%,2,1,,,1,1,2,6,1,,,8,1,16.67%,2,25.00%,6,3,50.00%,26,,,15,57.69%,3,20.00%,7,46.67%,11,42.31%,9,81.82%,6,23.08%,2,,,,1,,,,,0.118,0.067,0.238,0.032,0.027,-0.050,0.118,0.000,427,1,50.00%,,,1,100.00%,2,33.33%,1,100.00%,1,1,50.00%,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
13315,DIOGO JOSE',TEIXEIRA DA SILVA,JOTA D.,04-12-1996,131343,32,,,,,,1,1,100.00%,14,3,21.43%,8,57.14%,1,33.33%,3,20.00%,1,33.33%,15,1,6.67%,,1,1,100.00%,,,,5,,,,2,,,1,50.00%,1,,,13,,,5,38.46%,4,80.00%,7,140.00%,6,46.15%,3,50.00%,4,30.77%,1,,,,,1,50.00%,,,0.000,0.000,0.246,0.038,0.130,0.000,0.000,0.000,427,,,,,,,2,50.00%,,,1,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13794,ANTONIN,BARAK,BARAK A.,03-12-1994,131343,16,,,,,,,,,10,2,20.00%,7,70.00%,2,100.00%,,,,,8,,,,,,,,,1,2,,,,2,,,1,50.00%,1,,,8,1,12.50%,3,37.50%,2,66.67%,4,133.33%,2,25.00%,1,50.00%,1,12.50%,1,1,,,1,1,50.00%,,,0.000,0.000,0.395,0.000,0.395,0.000,0.000,0.000,263,,,,,,,1,100.00%,,,2,,,,,,,,,,,,,,,,1,,2,100.00%,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,
13777,TOMAS,CHORY,CHORY T.,26-01-1995,131343,2,,,,,,,,,1,,,1,100.00%,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60006,MOJMIR,CHYTIL,CHYTIL M.,29-04-1999,131343,35,,,,,,1,1,100.00%,8,2,25.00%,4,50.00%,1,50.00%,,,,,13,2,15.38%,,1,1,100.00%,,,1,7,,,,1,2,28.57%,,,2,1,50.00%,10,,,3,30.00%,2,66.67%,4,133.33%,6,60.00%,2,33.33%,2,20.00%,1,,,,2,,,,,0.000,0.000,0.514,0.045,0.169,0.000,0.000,0.000,263,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13139,VLADIMIR,COUFAL,COUFAL V.,22-08-1992,131343,96,,,,,,1,,,36,5,13.89%,24,66.67%,1,20.00%,,,,,21,,,,1,,,4,,4,10,,,,7,4,40.00%,2,28.57%,1,,,15,1,6.67%,5,33.33%,1,20.00%,6,120.00%,4,26.67%,,,3,20.00%,,1,,,2,2,28.57%,6,60.00%,0.000,0.000,0.715,0.038,0.715,0.000,0.000,0.000,263,,,1,25.00%,,,1,33.33%,,,6,,,,,,,,,,,,,,,,,,3,50.00%,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,
25094,DAVID,DOUDERA,DOUDERA D.,31-05-1998,131343,96,,,,,,3,,,27,2,7.41%,19,70.37%,,,1,3.85%,,,26,,,1,,,,1,,1,6,,,,2,5,83.33%,,,2,1,50.00%,5,,,3,60.00%,,,,,,,,,1,20.00%,,,,,2,,,6,100.00%,0.000,0.000,0.345,0.000,0.345,0.000,0.000,0.000,263,,,,,,,1,100.00%,,,2,,,,,,,,,,,,,,,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24403,TOMAS,HOLES,HOLES T.,31-03-1993,131343,94,,,,,,,,,18,,,11,61.11%,,,,,,,9,,,,,,,,,,3,,,,3,,,,,,,,11,,,6,54.55%,1,16.67%,3,50.00%,5,45.45%,3,60.00%,1,9.09%,2,,,,2,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263,,,,,,,1,100.00%,,,3,,,,1,,,,,,,,,,,,,,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42336,ROBIN,HRANAC,HRANAC R.,29-01-2000,131343,96,,,,,,,,,17,,,14,82.35%,,,,,,,8,,,,,,,,,,,1,1,100.00%,4,,,,,,,,4,,,3,75.00%,1,33.33%,,,2,50.00%,2,100.00%,2,50.00%,,,,,2,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263,,,,,,,1,50.00%,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,
24777,LADISLAV,KREJCI,KREJCI L. 99,20-04-1999,131343,96,,,,,,,,,33,,,26,78.79%,,,,,,,15,,,1,,,,,,,6,1,,,7,6,100.00%,1,14.29%,,,,8,,,7,87.50%,1,14.29%,,,3,37.50%,3,100.00%,5,62.50%,,,,,2,,,8,133.33%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263,,,,,1,100.00%,4,80.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,3,100.00%,,,,,,,,,,,,,,,,,,,,,
24405,JAN,KUCHTA,KUCHTA J.,08-01-1997,131343,61,,,,,,,,,15,,,10,66.67%,,,1,5.56%,,,18,,,5,,,,,,,9,,,,3,2,22.22%,,,,,,11,,,3,27.27%,1,33.33%,4,133.33%,7,63.64%,2,28.57%,2,18.18%,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263,,,,,,,1,50.00%,,,2,,,,,,,,,,,,,,,,,,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,1,20.00%,,,,,,,,,,
24818,ONDREJ,LINGR,LINGR O.,07-10-1998,131343,35,,,,,,,,,7,1,14.29%,4,57.14%,,,1,11.11%,,,9,1,11.11%,1,,,,,,,4,,,,,,,,,,,,4,1,25.00%,2,50.00%,1,50.00%,2,100.00%,1,25.00%,,,1,25.00%,,1,,,2,,,,,0.000,0.000,0.228,0.000,0.027,0.000,0.000,0.000,263,,,,,,,1,100.00%,,,1,,,1,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,
21422,LUKAS,PROVOD,PROVOD L.,23-10-1996,131343,80,1,1,100.00%,1,100.00%,,,,28,,,21,75.00%,,,1,5.26%,,,19,,,,,,,,,,5,,,,6,2,40.00%,2,33.33%,1,,,7,1,14.29%,3,42.86%,1,33.33%,4,133.33%,2,28.57%,2,100.00%,,,2,1,1,100.00%,1,1,16.67%,2,40.00%,0.070,0.484,0.000,0.000,-0.106,0.414,0.070,0.000,263,,,,,,,,,,,1,,,,,,,1,100.00%,,,,,1,100.00%,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,
8359,PATRIK,SCHICK,SCHICK P.,24-01-1996,131343,61,,,,,,1,,,15,1,6.67%,9,60.00%,,,,,,,19,,,4,1,,,,1,1,10,,,,3,2,20.00%,1,33.33%,,,,17,,,4,23.53%,2,50.00%,11,275.00%,10,58.82%,2,20.00%,3,17.65%,1,,,,,,,2,20.00%,0.000,0.000,0.143,0.041,0.143,0.000,0.000,0.000,263,,,,,,,1,33.33%,,,3,,,,,,,,,,,,,,,1,,,2,66.67%,,,,,,,,,,,,,,,,,,,,,,,,,4,100.00%,,,,,,,,,,
13147,PETR,SEVCIK,SEVCIK P.,04-05-1994,131343,16,1,1,100.00%,,,,,,5,1,20.00%,3,60.00%,,,2,40.00%,1,50.00%,5,1,20.00%,,,,,,,,2,,,,1,,,1,100.00%,1,1,100.00%,3,,,2,66.67%,1,50.00%,1,50.00%,1,33.33%,,,,,,,,,1,,,,,0.202,0.648,0.124,0.000,0.034,0.446,0.202,0.000,263,1,100.00%,,,,,,,1,100.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13592,TOMAS,SOUCEK,SOUCEK T.,27-02-1995,131343,96,1,,,1,100.00%,,,,24,,,20,83.33%,,,,,,,17,,,,,,,,,,3,,,,5,1,33.33%,2,40.00%,,,,9,1,11.11%,6,66.67%,1,16.67%,1,16.67%,1,11.11%,,,4,44.44%,1,1,,,2,1,20.00%,,,0.116,0.000,0.000,0.000,0.116,-0.116,0.116,0.000,263,,,,,,,3,75.00%,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27430,JINDRICH,STANEK,STANEK J.,27-04-1996,131343,96,,,,,,1,,,35,,,31,88.57%,,,,,,,14,,,,,,,,,,3,,,,7,2,66.67%,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,8,9,6,8,88.89%,4,66.67%,20,2,10.00%,5,25.00%,2,13,65.00%,3.291,1.291,,,,,,,,,,,,7,1,7,87.50%,5,71.43%,1,14.29%
25068,PAVEL,SULC,SULC P.,29-12-2000,131343,80,1,1,100.00%,,,1,,,15,,,12,80.00%,,,2,14.29%,,,14,,,,,,,,,,8,,,,5,3,37.50%,2,40.00%,,,,9,,,5,55.56%,3,60.00%,2,40.00%,5,55.56%,3,60.00%,3,33.33%,1,,,,1,1,20.00%,6,75.00%,0.147,0.395,0.000,0.000,0.004,0.248,0.147,0.000,263,1,100.00%,,,,,2,66.67%,1,100.00%,1,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
