Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,passChiave,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,perdePalla,recuperaPalla,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,falliSubiti,ammonizioni,retiSub,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,tiri,tiriDaFuori,tiriDaFuori_PERC,passChiaveInArea,passChiaveInArea_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,palleLaterali,dribbling,dribblingPositivo,dribblingPositivo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,tiriDiTesta,tiriDiTesta_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,giochiPortiereRicevuti,cross,perdeMetaCampoProria,perdeMetaCampoProria_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolTesta,tiroGolTesta_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,golSviluppoCorner,golSviluppoCorner_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,assist,assistVincenti,assistVincenti_PERC,assistInArea,assistInArea_PERC,assistVincentiInArea,assistVincentiInArea_PERC,crossRiusciti,crossRiusciti_PERC,crossVincenti,crossVincenti_PERC,triangolazione,triFatta,triFatta_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,traversoni,triChiusa,triChiusa_PERC,inFuorigioco,golProcurati,thirdPass,interventoPositivo,rinvio,rinvioDalFondo,rinvioDalFondo_PERC,parate,uscite,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,retiSubGK,FxGoT,gkGP,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiroGolAreaPiccola,tiroGolAreaPiccola_PERC,traversoniRiusciti,traversoniRiusciti_PERC,traversoniVincenti,traversoniVincenti_PERC,parataPiede,parataPiede_PERC,interventoNegativo,autogol,espulsioni
14245,WOUT,WEGHORST,WEGHORST W.,07-08-1992,132449,51,1,5,2,40.00%,3,60.00%,12,2,16.67%,7,,,,8,,,2,25.00%,1,50.00%,2,25.00%,2,100.00%,1,,1,,0.190,0.697,0.337,0.091,0.021,0.507,0.190,0.000,411,1,,,1,100.00%,1,50.00%,2,16.67%,1,1,,,5,250.00%,,,1,100.00%,1,100.00%,,,1,50.00%,,,1,14.29%,3,37.50%,,,,,,,,,1,100.00%,,,,,,,1,,,1,100.00%,,,,,,,,,,1,1,100.00%,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23032,JOSHUA,ZIRKZEE,ZIRKZEE J.,22-05-2001,132449,9,,1,,,1,100.00%,2,,,,,,,2,,,1,50.00%,,,1,50.00%,1,100.00%,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,411,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34265,SAMET,AKAYDIN,AKAYDIN S.,13-03-1994,132449,84,3,37,,,35,94.59%,29,1,3.45%,2,5,,,6,1,16.67%,5,83.33%,,,3,50.00%,3,100.00%,,1,,2,0.351,0.506,0.000,0.000,0.100,0.155,0.351,0.000,579,1,,,,,,,1,3.45%,,,,,,,,,1,100.00%,1,100.00%,1,100.00%,1,100.00%,1,,2,100.00%,1,16.67%,1,100.00%,1,100.00%,1,100.00%,1,100.00%,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,1,1,100.00%,,,,,,,,,,3,3,100.00%,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,100.00%,,,,,,,,,
26395,KEREM,AKTURKOGLU,AKTURKOGLU K.,21-10-1998,132449,19,1,6,2,33.33%,4,66.67%,7,1,14.29%,2,,,,1,,,,,,,1,100.00%,,,,,,,0.222,0.000,0.331,0.044,0.409,-0.222,0.222,0.000,579,2,,,,,,,1,14.29%,2,,,,1,,,,,,2,100.00%,1,50.00%,1,100.00%,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14828,KAAN,AYHAN,AYHAN K.,10-11-1994,132449,90,2,39,1,2.56%,36,92.31%,33,,,3,2,,,9,,,6,66.67%,1,16.67%,3,33.33%,2,66.67%,,,,2,0.000,0.000,0.145,0.026,0.145,0.000,0.000,0.000,579,,,,1,50.00%,1,100.00%,,,1,1,1,100.00%,1,16.67%,,,,,,,,,,,5,1,2,66.67%,2,22.22%,2,100.00%,,,,,,,,,,,2,66.67%,,,1,,,1,100.00%,,,1,100.00%,,,,,,3,2,66.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35499,ABDULKERIM,BARDAKCI,BARDAKCI A.,07-09-1994,132449,98,1,41,3,7.32%,33,80.49%,37,2,5.41%,9,4,,,19,1,5.26%,10,52.63%,2,20.00%,6,31.58%,5,83.33%,2,1,,2,0.265,0.000,0.170,0.120,0.238,-0.265,0.265,0.000,579,1,,,1,100.00%,1,33.33%,1,2.70%,1,1,1,100.00%,6,60.00%,,,,,1,100.00%,,,1,100.00%,1,,,,6,31.58%,2,33.33%,,,,,,,,,,,,,,,1,,,1,100.00%,,,,,,,,,,3,2,66.67%,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,
7687,HAKAN,CALHANOGLU,CALHANOGLU H.,08-02-1994,132449,98,2,58,6,10.34%,50,86.21%,45,,,5,10,3,30.00%,9,2,22.22%,5,55.56%,3,60.00%,1,11.11%,1,100.00%,2,2,,2,0.121,0.059,1.051,0.111,1.043,-0.062,0.121,0.000,579,2,2,100.00%,1,50.00%,1,16.67%,2,4.44%,,,,,3,60.00%,2,20.00%,1,50.00%,,,,,,,1,,1,20.00%,2,22.22%,1,50.00%,,,,,,,,,,,,,1,100.00%,1,,,1,100.00%,,,,,,,1,1,100.00%,2,1,50.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21437,MEHMET ZEKI,CELIK,CELIK M. Z.,17-02-1997,132449,15,1,6,2,33.33%,4,66.67%,5,,,,,,,,,,,,,,,,,,,,,,0.138,0.355,0.367,0.057,0.505,0.217,0.138,0.000,579,1,,,1,100.00%,1,50.00%,,,3,,,,,,,,1,100.00%,1,100.00%,,,,,,1,,,,,,,,,,,,,1,100.00%,,,,,,,1,,,1,100.00%,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,
34287,ARDA,GULER,GULER A.,25-02-2005,132449,98,3,52,8,15.38%,45,86.54%,43,,,6,5,3,60.00%,13,1,7.69%,4,30.77%,2,50.00%,3,23.08%,1,33.33%,,1,,2,0.066,0.000,1.660,0.192,1.725,-0.066,0.066,0.000,579,2,2,100.00%,2,66.67%,4,50.00%,1,2.33%,3,3,1,33.33%,4,100.00%,2,40.00%,,,,,,,,,1,2,2,33.33%,2,15.38%,,,,,,,,,,,,,2,33.33%,,,2,1,50.00%,2,100.00%,1,50.00%,1,50.00%,,,1,,,4,3,75.00%,,,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,100.00%,,,,,
21530,MERT,GUNOK,GUNOK M.,01-03-1989,132449,98,,30,2,6.67%,21,70.00%,15,,,8,1,,,,,,,,,,,,,,,,,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,579,,,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,2,25.00%,,,,,,,,,,,,,,,2,25.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13,4,30.77%,3,,4,3,75.00%,8,9,1,12.50%,9,100.00%,,,9,69.23%,2,66.67%,2,1.704,-0.296,,,,,,,,,1,33.33%,,,
20912,FERDI,KADIOGLU,KADIOGLU F.,07-10-1999,132449,98,2,34,1,2.94%,27,79.41%,26,,,3,6,,,14,1,7.14%,10,71.43%,3,30.00%,7,50.00%,4,57.14%,,1,,2,0.000,0.000,0.000,0.042,0.000,0.000,0.000,0.000,579,,,,,,,,,,,2,2,100.00%,2,20.00%,,,,,,,,,,,,,1,33.33%,3,21.43%,2,66.67%,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55250,SEMIH,KILICSOY,KILICSOY S.,15-08-2005,132449,8,,1,,,1,100.00%,2,1,50.00%,,,,,,,,,,,,,,,,,,,,0.288,0.351,0.000,0.000,0.119,0.063,0.288,0.000,579,1,,,,,,,1,50.00%,,,,,,,,,1,100.00%,1,100.00%,,,1,100.00%,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17563,MERT,MULDUR,MULDUR M.,03-04-1999,132449,84,,27,3,11.11%,19,70.37%,19,,,4,4,1,25.00%,10,2,20.00%,7,70.00%,3,42.86%,6,60.00%,3,50.00%,,2,,2,0.000,0.000,0.141,0.000,0.141,0.000,0.000,0.000,579,,,,,,2,66.67%,2,10.53%,1,,,,,,1,25.00%,,,,,,,,,,,,,1,10.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
15792,SALIH,OZCAN,OZCAN S.,11-01-1998,132449,79,,21,,,18,85.71%,15,,,2,4,,,14,1,7.14%,5,35.71%,1,20.00%,6,42.86%,2,33.33%,1,1,,2,0.055,0.000,0.000,0.000,0.055,-0.055,0.055,0.000,579,1,1,100.00%,,,,,1,6.67%,,1,,,3,60.00%,,,,,,,,,,,,,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,5,3,60.00%,,,,1,100.00%,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11145,CENK,TOSUN,TOSUN C.,07-06-1991,132449,15,,1,,,,,4,2,50.00%,,,,,2,1,50.00%,2,100.00%,2,100.00%,1,50.00%,1,100.00%,,1,1,,0.244,0.000,0.000,0.000,-0.223,-0.244,0.244,0.000,579,2,,,,,,,2,50.00%,,,,,,,,,,,2,100.00%,2,100.00%,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36272,BERTUG,YILDIRIM,YILDIRIM B.,12-07-2002,132449,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
31264,KENAN,YILDIZ,YILDIZ K.,04-05-2005,132449,79,,13,,,13,100.00%,16,,,2,,,,7,,,1,14.29%,,,3,42.86%,,,1,,,2,0.163,0.136,0.000,0.000,0.163,-0.027,0.163,0.000,579,2,1,50.00%,,,,,2,12.50%,,1,1,100.00%,3,300.00%,,,1,50.00%,1,50.00%,,,,,,,1,50.00%,2,28.57%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,100.00%,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29786,BARIS ALPER,YILMAZ,BARIS YILMAZ,23-05-2000,132449,98,,14,1,7.14%,13,92.86%,26,4,15.38%,11,2,,,29,3,10.34%,9,31.03%,6,66.67%,12,41.38%,3,25.00%,1,3,,2,0.000,0.000,0.220,0.000,-0.071,0.000,0.000,0.000,579,,,,,,,,1,3.85%,1,5,1,20.00%,15,166.67%,,,,,,,,,,,,1,4,36.36%,6,20.69%,2,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,100.00%,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19519,OKAY,YOKUSLU,YOKUSLU O.,09-03-1994,132449,19,,8,,,8,100.00%,5,,,,4,1,25.00%,4,1,25.00%,4,100.00%,,,1,25.00%,1,100.00%,,1,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,579,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,50.00%,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
