Player ID,First Name,Last Name,Known Name,Born Date,Shirt Number,Position,Position Detail,Citizenship,Height,Foot,Photo,Module Position,Age
7437,ADRIEN,RABIOT,RABIOT A.,1995-04-03,14,Midfielder,Center Midfield,France,188.0,left,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/RABIOT A._7437.png,0,29.2
30184,WILLIAM,SALIBA,SALIBA W.,2001-03-24,17,Defender,Centre-Back,France,192.0,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/SALIBA W._30184.png,0,23.3
50346,BRICE,SAMBA,SAMBA B.,1994-04-25,1,Goalkeeper,Goalkeeper,France,187.0,left,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/SAMBA B._50346.png,0,30.2
17930,AURELIEN,TCHOUAMENI,TCHOUAMENI A.,2000-01-27,8,Midfielder,Defensive Midfield,France,188.0,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/TCHOUAMENI A._17930.png,0,24.4
20214,MARCUS,THURAM,THURAM M.,1997-08-06,15,Striker,Centre-Forward,France,192.0,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/THURAM M._20214.png,0,26.9
23036,JEAN-CLAIR,TODIBO,TODIBO J.,1999-12-30,0,Defender,Centre-Back,France,190.0,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/TODIBO J._23036.png,0,24.5
14949,DAYOT,UPAMECANO,UPAMECANO D.,1998-10-27,4,Defender,Centre-Back,France,186.0,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/UPAMECANO D._14949.png,0,25.7
29951,WARREN,ZAIRE EMERY,ZAIRE-EMERY W.,2006-03-08,18,Midfielder,,France,178.0,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/ZAIRE-EMERY W._29951.png,0,18.3
27388,GIORGI,ABURJANIA,ABURJANIA G.,1995-01-02,0,Midfielder,Defensive Midfield,Georgia,186.0,both,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/ABURJANIA G._27388.png,0,29.5
27392,SANDRO,ALTUNASHVILI,ALTUNASHVILI S.,1997-05-19,18,Midfielder,,Georgia,169.0,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/ALTUNASHVILI S._27392.png,0,27.1
27389,IRAKLI,AZAROVI,AZAROVI I.,2002-02-21,0,Defender,Left-Back,Georgia,179.0,left,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/AZAROVI I._27389.png,0,22.4
23349,GIORGI,CHAKVETADZE,CHAKVETADZE G.,1999-08-29,10,Midfielder,Attacking Midfield,Georgia,183.0,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/CHAKVETADZE G._23349.png,0,24.8
27386,ZURIKO,DAVITASHVILI,DAVITASHVILI Z.,2001-02-15,9,Midfielder,Right Winger,Georgia,175.0,right,,0,23.4
10079,LASHA,DVALI,DVALI L.,1995-05-14,3,Defender,Centre-Back,Georgia,191.0,left,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/DVALI L._10079.png,0,29.1
31655,LUKA,GAGNIDZE,GAGNIDZE L.,2003-02-28,0,Midfielder,Center Midfield,Georgia,175.0,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/GAGNIDZE L._31655.png,0,21.3
42397,GIORGI,GOCHOLEISHVILI,GOCHOLEISHVILI G.,2001-02-14,13,Defender,Right-Back,Georgia,178.0,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/GOCHOLEISHVILI G._42397.png,0,23.4
53253,LUKA,GUGESHASHVILI,GUGESHASHVILI L.,1999-04-29,12,Goalkeeper,Goalkeeper,Georgia,196.0,left,,0,25.2
43099,GIORGI,GVELESIANI,GVELESIANI G.,1991-05-05,15,Defender,,Georgia,193.0,right,,0,33.2
27391,OTAR,KAKABADZE,KAKABADZE O.,1995-06-27,2,Defender,,Georgia,,,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/KAKABADZE O._27391.png,0,29.0
42389,ALEKSANDRE,KALANDADZE,KALANDADZE A.,2001-05-09,0,Defender,Centre-Back,Georgia,188.0,left,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/KALANDADZE A._42389.png,0,23.1
8256,GURAM,KASHIA,KASHIA G.,1987-07-04,4,Defender,Centre-Back,Georgia,185.0,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/KASHIA G._8256.png,0,37.0
37089,OTAR,KITEISHVILI,KITEISHVILI O.,1996-03-26,17,Midfielder,Attacking Midfield,Georgia,173.0,both,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/KITEISHVILI O._37089.png,0,28.3
53252,GIORGI,KOCHORASHVILI,KOCHORASHVILI G.,1999-06-29,6,Midfielder,Center Midfield,Georgia,178.0,right,,0,25.0
31347,KHVICHA,KVARATSKHELIA,KVARATSKHELIA K.,2001-02-12,7,Striker,Left Forward,Georgia,183.0,both,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/KVARATSKHELIA K._31347.png,0,23.4
