Player ID,First Name,Last Name,Known Name,Born Date,Season ID,playTime,playTime_MEAN,passChiave,passChiave_MEAN,passChiaveInArea,passChiaveInArea_PERC,passChiaveInArea_MEAN,pass,pass_MEAN,passInArea,passInArea_PERC,passInArea_MEAN,passRiusciti,passRiusciti_PERC,passRiusciti_MEAN,passInAreaRiusciti,passInAreaRiusciti_PERC,passInAreaRiusciti_MEAN,passRicevuti,passRicevuti_MEAN,passRicevutiInArea,passRicevutiInArea_PERC,passRicevutiInArea_MEAN,giochiPortiereRicevuti,giochiPortiereRicevuti_MEAN,assist,assist_MEAN,assistInArea,assistInArea_PERC,assistInArea_MEAN,perdePalla,perdePalla_MEAN,recuperaPalla,recuperaPalla_MEAN,perdeMetaCampoProria,perdeMetaCampoProria_PERC,perdeMetaCampoProria_MEAN,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,recuperaMetaCampoAvversaria_MEAN,dribbling,dribbling_MEAN,dribblingPositivo,dribblingPositivo_PERC,dribblingPositivo_MEAN,dribblingSub,dribblingSub_MEAN,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,dribblingSubitoNegativo_MEAN,duelli,duelli_MEAN,duelliVinti,duelliVinti_PERC,duelliVinti_MEAN,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliVintiMetaCampo_MEAN,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliPersiMetaCampo_MEAN,duelliAerei,duelliAerei_PERC,duelliAerei_MEAN,duelliAereiVinti,duelliAereiVinti_PERC,duelliAereiVinti_MEAN,duelliTackle,duelliTackle_PERC,duelliTackle_MEAN,duelliTackleVinti,duelliTackleVinti_PERC,duelliTackleVinti_MEAN,falliFatti,falliFatti_MEAN,interventoPositivo,interventoPositivo_MEAN,retiSub,retiSub_MEAN,xG,xG_MEAN,xGoT,xGoT_MEAN,xA,xA_MEAN,xAe,xAe_MEAN,xOvA,xOvA_MEAN,shotQuality,shotQuality_MEAN,np_xG,np_xG_MEAN,op_xG,op_xG_MEAN,tiri,tiri_MEAN,tiriInPorta,tiriInPorta_PERC,tiriInPorta_MEAN,tiriDaArea,tiriDaArea_PERC,tiriDaArea_MEAN,tiriDaFuori,tiriDaFuori_PERC,tiriDaFuori_MEAN,passChiaveRicevuti,passChiaveRicevuti_PERC,passChiaveRicevuti_MEAN,assistVincenti,assistVincenti_PERC,assistVincenti_MEAN,assistVincentiInArea,assistVincentiInArea_PERC,assistVincentiInArea_MEAN,thirdPass,thirdPass_MEAN,cross,cross_MEAN,traversoni,traversoni_MEAN,traversoniRiusciti,traversoniRiusciti_PERC,traversoniRiusciti_MEAN,traversoniVincenti,traversoniVincenti_PERC,traversoniVincenti_MEAN,palleLaterali,palleLaterali_MEAN,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliFalliDiGioco_MEAN,falliSubiti,falliSubiti_MEAN,inFuorigioco,inFuorigioco_MEAN,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,tiriInPortaDaFuori_MEAN,crossRiusciti,crossRiusciti_PERC,crossRiusciti_MEAN,triangolazione,triangolazione_MEAN,triFatta,triFatta_PERC,triFatta_MEAN,triChiusa,triChiusa_PERC,triChiusa_MEAN,tiriInPortaDaArea,tiriInPortaDaArea_PERC,tiriInPortaDaArea_MEAN,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,recuperaTerzoOffensivo_MEAN,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,perdeTerzoDifensivo_MEAN,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,giochiPortiereRicevutiMetaCampoAvversaria_MEAN,tiroGol,tiroGol_PERC,tiroGol_MEAN,tiroGolArea,tiroGolArea_PERC,tiroGolArea_MEAN,tiroGolPiede,tiroGolPiede_PERC,tiroGolPiede_MEAN,ammonizioni,ammonizioni_MEAN,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passChiaveRicevutiInArea_MEAN,interventoNegativo,interventoNegativo_MEAN,autogol,autogol_MEAN,tiriDiTesta,tiriDiTesta_PERC,tiriDiTesta_MEAN,tiroGolTesta,tiroGolTesta_PERC,tiroGolTesta_MEAN,parate,parate_MEAN,uscite,uscite_MEAN,tiriInPortaSubitiPortiere,tiriInPortaSubitiPortiere_MEAN,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,tiriInPortaSubitiParati_MEAN,lanci,lanci_MEAN,passaggiPortiere,passaggiPortiere_MEAN,lanciPositivi,lanciPositivi_PERC,lanciPositivi_MEAN,passaggiPortierePositivi,passaggiPortierePositivi_PERC,passaggiPortierePositivi_MEAN,rinvio,rinvio_MEAN,rinvioMano,rinvioMano_PERC,rinvioMano_MEAN,rinvioPiede,rinvioPiede_PERC,rinvioPiede_MEAN,parataMano,parataMano_PERC,parataMano_MEAN,parataPiede,parataPiede_PERC,parataPiede_MEAN,retiSubGK,retiSubGK_MEAN,rinvioDalFondo,rinvioDalFondo_PERC,rinvioDalFondo_MEAN,FxGoT,FxGoT_MEAN,gkGP,gkGP_MEAN,tiriDiRigore,tiriDiRigore_PERC,tiriDiRigore_MEAN,tiroGolRigore,tiroGolRigore_PERC,tiroGolRigore_MEAN,golProcurati,golProcurati_MEAN,crossVincenti,crossVincenti_PERC,crossVincenti_MEAN,thirdPassVincenti,thirdPassVincenti_PERC,thirdPassVincenti_MEAN,cutBack,cutBack_MEAN,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiriDaAreaPiccola_MEAN,tiroGolAreaPiccola,tiroGolAreaPiccola_PERC,tiroGolAreaPiccola_MEAN,cutBackRiusciti,cutBackRiusciti_PERC,cutBackRiusciti_MEAN,golSviluppoPunizioneCentrale,golSviluppoPunizioneCentrale_PERC,golSviluppoPunizioneCentrale_MEAN,tiroGolFuoriArea,tiroGolFuoriArea_PERC,tiroGolFuoriArea_MEAN,tiriRigoreSubiti,tiriRigoreSubiti_MEAN,cutBackVincenti,cutBackVincenti_PERC,cutBackVincenti_MEAN,golSviluppoPunizioneLaterale,golSviluppoPunizioneLaterale_PERC,golSviluppoPunizioneLaterale_MEAN,golSviluppoCorner,golSviluppoCorner_PERC,golSviluppoCorner_MEAN,tiriRigoreParati,tiriRigoreParati_PERC,tiriRigoreParati_MEAN,espulsioni,espulsioni_MEAN,doppieAmm,doppieAmm_MEAN,golSviluppoRimessa,golSviluppoRimessa_PERC,golSviluppoRimessa_MEAN,golSviluppoPunizioneDiretta,golSviluppoPunizioneDiretta_PERC,golSviluppoPunizioneDiretta_MEAN
43194,PASCAL,GROSS,GROSS P.,15-06-1991,2023,48,48,2,2.00,,,,71,71.00,3,4.23%,3.00,68,95.77%,68.00,2,66.67%,2.00,68,68.00,,,,,,,,,,,2,2.00,2,2.00,,,,2,100.00%,2.00,,,,,,,,,,,6,6.00,2,33.33%,2.00,1,50.00%,1.00,3,150.00%,3.00,3,50.00%,3.00,1,33.33%,1.00,2,33.33%,2.00,1,50.00%,1.00,1,1.00,,,1,1.00,0.022,0.022,0.214,0.214,0.553,0.553,0.000,0.000,0.468,0.468,0.192,0.192,0.022,0.022,0.000,0.000,1,1.00,1,100.00%,1.00,,,,1,100.00%,1.00,1,1.47%,1.00,,,,,,,,,1,1.00,,,,,,,,,1,1.00,,,,,,,,1,100.00%,1.00,,,,2,2.00,,,,2,100.00%,2.00,,,,1,50.00%,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7218,ILKAY,GUNDOGAN,GUNDOGAN I.,24-10-1990,2023,345,86,7,1.75,2,28.57%,0.50,144,36.00,12,8.33%,3.00,125,86.81%,31.25,2,16.67%,0.50,150,37.50,7,4.67%,1.75,,,2,0.50,1,50.00%,0.25,22,5.50,7,1.75,3,13.64%,0.75,4,57.14%,1.00,4,1.00,4,100.00%,1.00,7,1.75,6,85.71%,1.50,35,8.75,15,42.86%,3.75,10,66.67%,2.50,10,66.67%,2.50,7,20.00%,1.75,1,14.29%,0.25,10,28.57%,2.50,5,50.00%,1.25,3,0.75,,,2,0.50,0.876,0.219,1.010,0.253,2.344,0.586,0.157,0.039,1.914,0.479,0.134,0.034,0.876,0.219,0.670,0.168,6,1.50,5,83.33%,1.25,5,83.33%,1.25,1,16.67%,0.25,24,16.00%,6.00,1,50.00%,0.25,1,100.00%,0.25,1,0.25,1,0.25,,,,,,,,,2,0.50,4,11.43%,1.00,4,1.00,1,0.25,1,20.00%,0.25,,,,2,0.50,1,50.00%,0.25,1,50.00%,0.25,4,80.00%,1.00,2,28.57%,0.50,4,18.18%,1.00,,,,1,16.67%,0.25,1,100.00%,0.25,1,100.00%,0.25,,,5,20.83%,1.25,,,,,1,16.67%,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.25,,,,1,100.00%,0.25,,,,,,,,,,,,1,100.00%,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
13310,KAI,HAVERTZ,HAVERTZ K.,11-06-1999,2023,320,80,2,0.50,1,50.00%,0.25,96,24.00,8,8.33%,2.00,78,81.25%,19.50,3,37.50%,0.75,126,31.50,21,16.67%,5.25,4,1.00,2,0.50,1,50.00%,0.25,35,8.75,4,1.00,6,17.14%,1.50,,,,8,2.00,3,37.50%,0.75,2,0.50,2,100.00%,0.50,57,14.25,23,40.35%,5.75,16,69.57%,4.00,27,117.39%,6.75,19,33.33%,4.75,10,52.63%,2.50,22,38.60%,5.50,8,36.36%,2.00,5,1.25,,,1,0.25,3.437,0.859,4.417,1.104,1.548,0.387,0.096,0.024,2.181,0.545,0.978,0.245,1.925,0.481,0.711,0.178,14,3.50,9,64.29%,2.25,12,85.71%,3.00,2,14.29%,0.50,28,22.22%,7.00,1,50.00%,0.25,1,100.00%,0.25,,,,,,,,,,,,,,,2,3.51%,0.50,2,0.50,3,0.75,2,22.22%,0.50,,,,4,1.00,1,25.00%,0.25,3,75.00%,0.75,7,77.78%,1.75,,,,4,11.43%,1.00,2,50.00%,0.50,2,14.29%,0.50,2,100.00%,0.50,2,100.00%,0.50,,,12,42.86%,3.00,,,,,5,35.71%,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,14.29%,0.50,2,100.00%,0.50,,,,,,,,,,,1,7.14%,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10412,BENJAMIN,HENRICHS,HENRICHS B.,23-02-1997,2023,16,16,1,1.00,,,,5,5.00,,,,4,80.00%,4.00,,,,4,4.00,,,,,,,,,,,1,1.00,1,1.00,1,100.00%,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029,0.029,0.000,0.000,0.000,0.000,0.000,0.000,0.029,0.029,-0.029,-0.029,0.029,0.029,0.000,0.000,1,1.00,,,,,,,1,100.00%,1.00,1,25.00%,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9831,JOSHUA,KIMMICH,KIMMICH J.,08-02-1995,2023,387,97,16,4.00,7,43.75%,1.75,334,83.50,26,7.78%,6.50,300,89.82%,75.00,12,46.15%,3.00,279,69.75,9,3.23%,2.25,7,1.75,9,2.25,4,44.44%,1.00,18,4.50,17,4.25,3,16.67%,0.75,6,35.29%,1.50,1,0.25,,,,6,1.50,2,33.33%,0.50,29,7.25,16,55.17%,4.00,9,56.25%,2.25,8,50.00%,2.00,4,13.79%,1.00,2,50.00%,0.50,16,55.17%,4.00,10,62.50%,2.50,2,0.50,1,0.25,2,0.50,0.525,0.131,1.130,0.283,4.379,1.095,0.555,0.139,3.454,0.864,0.606,0.152,0.525,0.131,0.488,0.122,7,1.75,4,57.14%,1.00,4,57.14%,1.00,3,42.86%,0.75,11,3.94%,2.75,1,11.11%,0.25,,,,1,0.25,13,3.25,,,,,,,,,14,3.50,,,,,,,,2,50.00%,0.50,3,23.08%,0.75,2,0.50,1,50.00%,0.25,1,50.00%,0.25,2,50.00%,0.50,3,17.65%,0.75,6,33.33%,1.50,,,,,,,,,,,,,,,4,36.36%,1.00,1,0.25,,,1,14.29%,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7487,TONI,KROOS,KROOS T.,04-01-1990,2023,373,93,56,14.00,7,12.50%,1.75,456,114.00,35,7.68%,8.75,426,93.42%,106.50,18,51.43%,4.50,382,95.50,1,0.26%,0.25,5,1.25,12,3.00,7,58.33%,1.75,11,2.75,21,5.25,2,18.18%,0.50,9,42.86%,2.25,2,0.50,1,50.00%,0.25,11,2.75,3,27.27%,0.75,25,6.25,19,76.00%,4.75,8,42.11%,2.00,2,10.53%,0.50,2,8.00%,0.50,1,50.00%,0.25,5,20.00%,1.25,5,100.00%,1.25,2,0.50,,,1,0.25,0.173,0.043,0.908,0.227,5.736,1.434,0.354,0.089,5.467,1.367,0.734,0.184,0.173,0.043,0.125,0.031,3,0.75,2,66.67%,0.50,,,,3,100.00%,0.75,2,0.52%,0.50,,,,,,,2,0.50,4,1.00,,,,,,,,,4,1.00,4,16.00%,1.00,4,1.00,,,2,100.00%,0.50,2,50.00%,0.50,4,1.00,3,75.00%,0.75,1,25.00%,0.25,,,,5,23.81%,1.25,2,18.18%,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.25,,,,,,,,,,,,,,,1,100.00%,0.25,,,,,,,,,,,,,,,,1,50.00%,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15741,MAXIMILIAN,MITTELSTADT,MITTELSTADT M.,18-03-1997,2023,256,85,6,2.00,4,66.67%,1.33,189,63.00,20,10.58%,6.67,165,87.30%,55.00,8,40.00%,2.67,161,53.67,6,3.73%,2.00,5,1.67,5,1.67,4,80.00%,1.33,14,4.67,19,6.33,2,14.29%,0.67,6,31.58%,2.00,4,1.33,3,75.00%,1.00,3,1.00,2,66.67%,0.67,33,11.00,20,60.61%,6.67,7,35.00%,2.33,7,35.00%,2.33,7,21.21%,2.33,2,28.57%,0.67,7,21.21%,2.33,5,71.43%,1.67,3,1.00,,,2,0.67,0.171,0.057,0.167,0.056,4.101,1.367,0.216,0.072,3.982,1.327,-0.005,-0.002,0.171,0.057,0.171,0.057,4,1.33,2,50.00%,0.67,2,50.00%,0.67,2,50.00%,0.67,8,4.97%,2.67,1,20.00%,0.33,1,25.00%,0.33,,,16,5.33,3,1.00,,,,,,,22,7.33,9,27.27%,3.00,9,3.00,,,1,50.00%,0.33,5,31.25%,1.67,3,1.00,3,100.00%,1.00,,,,1,50.00%,0.33,1,5.26%,0.33,4,28.57%,1.33,1,20.00%,0.33,,,,,,,,,,1,0.33,1,12.50%,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.33,,,,,,,1,100.00%,0.33,,,,,,,,,1,100.00%,0.33,,,,,,,,,,,,,,,,,,,
7455,THOMAS,MULLER,MULLER T.,13-09-1989,2023,21,21,1,1.00,,,,12,12.00,3,25.00%,3.00,9,75.00%,9.00,,,,10,10.00,2,20.00%,2.00,,,1,1.00,,,,1,1.00,2,2.00,,,,1,50.00%,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.00,0.000,0.000,0.000,0.000,0.981,0.981,0.034,0.034,0.731,0.731,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,1,10.00%,1.00,1,100.00%,1.00,,,,,,2,2.00,,,,,,,,,2,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24707,JAMAL,MUSIALA,MUSIALA J.,26-02-2003,2023,309,77,9,2.25,3,33.33%,0.75,136,34.00,16,11.76%,4.00,123,90.44%,30.75,10,62.50%,2.50,159,39.75,4,2.52%,1.00,,,4,1.00,1,25.00%,0.25,25,6.25,12,3.00,6,24.00%,1.50,4,33.33%,1.00,35,8.75,20,57.14%,5.00,6,1.50,4,66.67%,1.00,76,19.00,42,55.26%,10.50,24,57.14%,6.00,24,57.14%,6.00,3,3.95%,0.75,2,66.67%,0.50,20,26.32%,5.00,9,45.00%,2.25,3,0.75,,,1,0.25,1.330,0.333,2.447,0.612,1.993,0.498,0.163,0.041,1.883,0.471,1.116,0.279,1.330,0.333,1.127,0.282,8,2.00,5,62.50%,1.25,4,50.00%,1.00,4,50.00%,1.00,24,15.09%,6.00,,,,,,,,,,,,,,,,,,,2,0.50,9,11.84%,2.25,9,2.25,,,2,40.00%,0.50,,,,1,0.25,1,100.00%,0.25,,,,3,60.00%,0.75,2,16.67%,0.50,2,8.00%,0.50,,,,3,37.50%,0.75,3,100.00%,0.75,3,100.00%,0.75,,,3,12.50%,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7446,MANUEL,NEUER,NEUER M.,27-03-1986,2023,387,97,,,,,,91,22.75,,,,79,86.81%,19.75,,,,69,17.25,,,,,,,,,,,9,2.25,11,2.75,6,66.67%,1.50,,,,,,,,,,,,,,2,0.50,2,100.00%,0.50,,,,,,,1,50.00%,0.25,1,100.00%,0.25,,,,,,,,,3,0.75,2,0.50,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,0.25,1,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.25,,,,,,,,,6,1.50,6,1.50,9,2.25,6,66.67%,1.50,13,3.25,54,13.50,6,46.15%,1.50,50,92.59%,12.50,24,6.00,17,70.83%,4.25,4,16.67%,1.00,4,66.67%,1.00,1,16.67%,0.25,2,0.50,3,12.50%,0.75,6.420,1.605,4.420,1.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25117,DAVID,RAUM,RAUM D.,22-04-1998,2023,115,58,4,2.00,3,75.00%,1.50,60,30.00,5,8.33%,2.50,49,81.67%,24.50,3,60.00%,1.50,39,19.50,1,2.56%,0.50,2,1.00,4,2.00,3,75.00%,1.50,4,2.00,5,2.50,,,,2,40.00%,1.00,4,2.00,4,100.00%,2.00,5,2.50,2,40.00%,1.00,18,9.00,13,72.22%,6.50,6,46.15%,3.00,4,30.77%,2.00,2,11.11%,1.00,1,50.00%,0.50,4,22.22%,2.00,3,75.00%,1.50,1,0.50,,,,,0.011,0.006,0.000,0.000,0.867,0.434,0.252,0.126,0.751,0.376,-0.011,-0.006,0.011,0.006,0.000,0.000,1,0.50,,,,,,,1,100.00%,0.50,1,2.56%,0.50,1,25.00%,0.50,1,33.33%,0.50,,,3,1.50,,,,,,,,,7,3.50,2,11.11%,1.00,2,1.00,,,,,,3,100.00%,1.50,,,,,,,,,,,,1,20.00%,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.50,1,33.33%,0.50,,,,1,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14210,WALDEMAR,RIPTSOV ANTON,ANTON W.,20-07-1996,2023,9,9,,,,,,3,3.00,,,,3,100.00%,3.00,,,,,,,,,,,,,,,,,,2,2.00,,,,,,,,,,,,,,,,,1,1.00,1,100.00%,1.00,,,,,,,1,100.00%,1.00,1,100.00%,1.00,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8755,ANTONIO,RUDIGER,RUDIGER A.,03-03-1993,2023,387,97,9,2.25,3,33.33%,0.75,341,85.25,12,3.52%,3.00,318,93.26%,79.50,7,58.33%,1.75,293,73.25,5,1.71%,1.25,11,2.75,2,0.50,2,100.00%,0.50,11,2.75,40,10.00,5,45.45%,1.25,9,22.50%,2.25,1,0.25,,,,4,1.00,,,,37,9.25,22,59.46%,5.50,5,22.73%,1.25,4,18.18%,1.00,11,29.73%,2.75,7,63.64%,1.75,14,37.84%,3.50,8,57.14%,2.00,4,1.00,1,0.25,2,0.50,0.107,0.027,0.744,0.186,0.981,0.245,0.125,0.031,-0.419,-0.105,0.636,0.159,0.107,0.027,0.025,0.006,4,1.00,2,50.00%,0.50,2,50.00%,0.50,2,50.00%,0.50,4,1.37%,1.00,,,,,,,,,2,0.50,,,,,,,,,3,0.75,3,8.11%,0.75,3,0.75,,,2,100.00%,0.50,,,,,,,,,,,,,,,2,5.00%,0.50,8,72.73%,2.00,,,,,,,,,,,,,1,0.25,2,50.00%,0.50,1,0.25,1,0.25,2,50.00%,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7766,LEROY,SANE',SANE' L.,11-01-1996,2023,175,44,3,0.75,3,100.00%,0.75,60,15.00,8,13.33%,2.00,54,90.00%,13.50,5,62.50%,1.25,75,18.75,6,8.00%,1.50,,,2,0.50,2,100.00%,0.50,11,2.75,3,0.75,1,9.09%,0.25,,,,17,4.25,11,64.71%,2.75,3,0.75,2,66.67%,0.50,34,8.50,18,52.94%,4.50,11,61.11%,2.75,12,66.67%,3.00,2,5.88%,0.50,,,,8,23.53%,2.00,3,37.50%,0.75,1,0.25,,,1,0.25,0.359,0.090,1.138,0.285,1.047,0.262,0.099,0.025,1.001,0.250,0.779,0.195,0.359,0.090,0.306,0.077,7,1.75,4,57.14%,1.00,3,42.86%,0.75,4,57.14%,1.00,12,16.00%,3.00,,,,,,,1,0.25,2,0.50,,,,,,,,,2,0.50,3,8.82%,0.75,3,0.75,,,2,50.00%,0.50,1,50.00%,0.25,2,0.50,1,50.00%,0.25,1,50.00%,0.25,2,50.00%,0.50,,,,,,,,,,,,,,,,,,,,,2,16.67%,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20932,NICO,SCHLOTTERBECK,SCHLOTTERBECK N.,01-12-1999,2023,131,66,5,2.50,1,20.00%,0.50,89,44.50,1,1.12%,0.50,81,91.01%,40.50,1,100.00%,0.50,66,33.00,2,3.03%,1.00,5,2.50,2,1.00,1,50.00%,0.50,5,2.50,16,8.00,2,40.00%,1.00,3,18.75%,1.50,1,0.50,,,,3,1.50,3,100.00%,1.50,24,12.00,15,62.50%,7.50,6,40.00%,3.00,3,20.00%,1.50,9,37.50%,4.50,8,88.89%,4.00,8,33.33%,4.00,6,75.00%,3.00,2,1.00,,,,,0.170,0.085,0.000,0.000,0.000,0.000,0.089,0.045,-0.328,-0.164,-0.170,-0.085,0.170,0.085,0.000,0.000,2,1.00,,,,2,100.00%,1.00,,,,2,3.03%,1.00,1,50.00%,0.50,1,100.00%,0.50,,,,,,,,,,,,,,,1,4.17%,0.50,1,0.50,,,,,,,,,1,0.50,1,100.00%,0.50,,,,,,,,,,2,40.00%,1.00,,,,,,,,,,,,,,,2,100.00%,1.00,1,0.50,,,2,100.00%,1.00,,,,,,,,,,,,,,,,,,,,,,,4,2.00,,,,,,,,,,,,,,,4,100.00%,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9565,JONATHAN,TAH,TAH J.,11-02-1996,2023,256,85,10,3.33,,,,235,78.33,3,1.28%,1.00,222,94.47%,74.00,,,,209,69.67,3,1.44%,1.00,12,4.00,2,0.67,,,,4,1.33,18,6.00,2,50.00%,0.67,3,16.67%,1.00,,,,,,2,0.67,,,,26,8.67,14,53.85%,4.67,4,28.57%,1.33,5,35.71%,1.67,7,26.92%,2.33,5,71.43%,1.67,11,42.31%,3.67,6,54.55%,2.00,5,1.67,,,2,0.67,0.000,0.000,0.000,0.000,0.540,0.180,0.102,0.034,-0.041,-0.014,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.85%,0.33,1,0.33,1,0.33,,,,,,,,,,,,,,,,,,1,5.56%,0.33,,,,,,,,,,,,,,,,2,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43196,DENIZ,UNDAV,UNDAV D.,19-07-1996,2023,9,9,,,,,,2,2.00,1,50.00%,1.00,1,50.00%,1.00,,,,2,2.00,,,,,,,,,,,1,1.00,,,,,,,,,,,,,,2,2.00,1,50.00%,1.00,2,2.00,1,50.00%,1.00,1,100.00%,1.00,1,100.00%,1.00,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.112,0.112,0.000,0.000,0.112,0.112,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,1,50.00%,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
